game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_GS,P_GF,P_W,P_L,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P9595852,Dortch,,Argenta,2b,1,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P0790581,Browne,,Argenta,lf,2,3,0,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P1090214,Leslie,,Argenta,cf,3,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P7807330,Ritter,,Argenta,c,4,2,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,6,3,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P1623680,Cowan,,Argenta,3b,5,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P3218733,Humphreys,,Argenta,ss,6,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P1923464,Sweeney,,Argenta,rf,7,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P4931354,Bockewitz,,Argenta,1b,8,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P7389564,Reese,,Argenta,p,9,3,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,2,8,,,,0,2,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,,TOTALS,,Argenta,,,29,3,,6,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,27,11,1,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P2896286,Benham,,Helena,rf,1,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P3466885,Rogers,,Helena,p,10,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,1,,0,3,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P4233192,Weber,,Helena,3b,2,3,0,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,6,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P1656345,Vandagrift,,Helena,2b,3,2,1,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P4064581,Merchant,,Helena,2b,4,2,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P8893067,Begley,,Helena,1b,5,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P8081586,Hoffman,,Helena,lf,6,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P7825849,Lannon,,Helena,cf,7,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P8790267,Graves,,Helena,ss,8,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,P1644589,Leighton,,Helena,c,9,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,,,,
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,,TOTALS,,Helena,,,33,2,,6,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,24,15,3,,,,
KZZQQCS,1909,Southern Association,1909-04-15,0,regular,P1275300,Wheat,,Mobile,rf,1,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
KZZQQCS,1909,Southern Association,1909-04-15,0,regular,P9858743,Bittrolff,,Mobile,p,10,2,0,,0,,,,,,,,,,,,,,,,,,,4.0,,,4,,9,,2,1,,,0,0,0,,,,
KZZQQCS,1909,Southern Association,1909-04-15,0,regular,P0170129,Hixon,,Mobile,p,11,2,0,,0,,,,,,,,,,,,,,,,,,,4.0,,,4,,2,4,1,,,,0,2,0,,,,
KZZQQCS,1909,Southern Association,1909-04-15,0,regular,P0749058,Sentell,,Mobile,ss,2,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,
KZZQQCS,1909,Southern Association,1909-04-15,0,regular,P9769317,Rhoton,,Mobile,2b,3,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,,,,
KZZQQCS,1909,Southern Association,1909-04-15,0,regular,P3446599,Thornton,,Mobile,lf,4,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
