league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1909,Central Kansas League,regular,P7767282,Baer,,Minneapolis,1909-08-07,1909-08-07,1,1,0,0,0,0,0,0,0,0,0,1
1909,Central Kansas League,regular,P7450994,Bear,,Minneapolis,1909-08-07,1909-08-07,1,1,0,0,0,0,0,0,0,0,0,1
1909,Central Kansas League,regular,P3125714,Harlen,,Minneapolis,1909-08-06,1909-08-06,1,1,0,0,0,0,0,0,0,0,0,1
1909,Central Kansas League,regular,P1395137,Harris,,Minneapolis,1909-08-06,1909-08-07,2,0,0,0,0,0,0,0,0,0,2,0
1909,Central Kansas League,regular,P0405844,Jennings,,Minneapolis,1909-08-07,1909-08-07,1,0,0,0,0,0,0,0,0,0,1,0
1909,Central Kansas League,regular,P6595920,Osborne,,Minneapolis,1909-08-07,1909-08-07,1,1,0,0,0,0,0,0,0,0,0,1
1909,Central Kansas League,regular,P5938797,Parm,,Ellsworth,1909-08-06,1909-08-06,1,1,0,0,0,0,0,0,0,0,0,1
1909,Central Kansas League,regular,P7777238,Seigle,,Ellsworth,1909-08-07,1909-08-07,1,0,0,0,0,0,0,0,0,0,1,0
1909,Central Kansas League,regular,P2181475,Sommers,,Ellsworth,1909-08-06,1909-08-07,2,0,0,0,0,0,0,0,0,0,2,0
1909,Central Kansas League,regular,P6852246,Wood,,Ellsworth,1909-08-07,1909-08-07,2,2,0,0,0,0,0,0,0,0,0,2
