league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1910,Central Kansas League,regular,P2991441,Abbott,,Salina,1910-05-21,1910-05-31,6,0,0,0,0,0,0,0,0,0,6,0
1910,Central Kansas League,regular,P3573461,Alexander,,Ellsworth,1910-06-14,1910-06-25,3,0,0,0,0,0,1,0,0,1,2,0
1910,Central Kansas League,regular,P2011998,Armstrong,,Ellsworth,1910-05-19,1910-06-25,9,0,8,0,0,0,0,0,0,0,0,0
1910,Central Kansas League,regular,P6013934,Atteberry,,Beloit,1910-06-15,1910-06-15,1,1,0,0,0,0,0,0,0,0,0,1
1910,Central Kansas League,regular,P0021177,Atterberry,,Salina,1910-05-23,1910-05-23,1,1,0,0,0,0,0,0,0,0,0,1
1910,Central Kansas League,regular,P9817967,Bankhead,,Ellsworth,1910-05-19,1910-06-25,8,0,0,0,0,0,2,0,0,2,5,0
1910,Central Kansas League,regular,P5895810,Barnes,,Clay Center,1910-05-28,1910-06-25,2,0,0,0,0,0,2,2,0,0,0,0
1910,Central Kansas League,regular,P2408692,Bashang,,Junction City,1910-05-21,1910-05-21,1,0,0,0,0,0,1,1,0,0,0,0
1910,Central Kansas League,regular,P2796050,Bechtold,,Abilene,1910-05-19,1910-05-21,2,0,0,0,0,0,2,0,0,2,0,0
1910,Central Kansas League,regular,P3646556,Beck,,Clay Center,1910-05-28,1910-05-28,1,0,0,0,0,0,1,0,1,0,0,0
1910,Central Kansas League,regular,P1691466,Brittain,,Abilene,1910-05-19,1910-05-19,1,0,0,0,1,0,0,0,0,0,0,0
1910,Central Kansas League,regular,P9171791,Britton,,Abilene,1910-05-21,1910-05-21,1,0,0,0,1,0,0,0,0,0,0,0
1910,Central Kansas League,regular,P0234933,Brown,,Abilene,1910-05-19,1910-05-21,2,2,0,0,0,0,0,0,0,0,0,2
1910,Central Kansas League,regular,P8758854,Clark,,Manhattan,1910-05-23,1910-05-24,2,0,0,0,0,2,0,0,0,0,0,0
1910,Central Kansas League,regular,P4326219,Clarke,,Manhattan,1910-05-23,1910-05-23,1,0,0,0,0,1,0,0,0,0,0,0
1910,Central Kansas League,regular,P3790442,Clary,,Concordia,1910-06-03,1910-06-04,2,1,0,0,0,0,2,0,2,0,0,1
1910,Central Kansas League,regular,P7445719,Conley,,Abilene,1910-05-19,1910-05-21,2,0,0,0,0,0,2,2,0,0,0,0
1910,Central Kansas League,regular,P6011938,Connors,,Junction City,1910-05-21,1910-05-21,1,1,0,0,0,0,0,0,0,0,0,1
1910,Central Kansas League,regular,P9491078,Cox,,Beloit,1910-06-14,1910-06-14,1,1,0,0,0,0,0,0,0,0,0,1
1910,Central Kansas League,regular,P0919928,Diamond,,Beloit,1910-06-14,1910-06-15,2,0,0,0,0,0,0,0,0,0,2,0
1910,Central Kansas League,regular,P5108641,Drew,,Concordia,1910-06-03,1910-06-04,2,0,0,0,0,2,0,0,0,0,0,0
1910,Central Kansas League,regular,P2269234,Drew,,Junction City,1910-05-21,1910-05-21,1,0,0,0,0,1,0,0,0,0,0,0
1910,Central Kansas League,regular,P9268500,Drum,,Beloit,1910-06-14,1910-06-15,2,0,0,0,0,0,2,0,0,2,0,0
1910,Central Kansas League,regular,P1480367,Dugan,,Junction City,1910-05-21,1910-05-21,1,0,0,0,0,0,1,1,0,0,0,0
1910,Central Kansas League,regular,P6405674,Ehrgott,,Abilene,1910-05-21,1910-05-21,1,0,0,0,0,0,0,0,0,0,1,0
1910,Central Kansas League,regular,P6028372,Epling,,Salina,1910-05-21,1910-05-28,5,0,0,5,0,0,0,0,0,0,0,0
