game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
WVQJFXD,1910,Central Kansas League,1910-05-19,0,regular,P9581480,Hamlin,
HRYLQZN,1910,Central Kansas League,1910-05-21,0,regular,P5958415,,
KKQDTCZ,1910,Central Kansas League,1910-05-21,0,regular,P9581480,Hamlin,
JDMXWCP,1910,Central Kansas League,1910-05-23,1,regular,P9581480,Hamlin,
JDMXWCP,1910,Central Kansas League,1910-05-23,1,regular,P1907804,Wayman,
CFRYHQW,1910,Central Kansas League,1910-05-23,2,regular,P9581480,Hamlin,
CFRYHQW,1910,Central Kansas League,1910-05-23,2,regular,P1907804,Wayman,
THVMLCY,1910,Central Kansas League,1910-05-24,0,regular,P9581480,Hamlin,
THVMLCY,1910,Central Kansas League,1910-05-24,0,regular,P1907804,Wayman,
CJLTVYT,1910,Central Kansas League,1910-05-28,0,regular,P1161220,Mythen,
WGRTXCP,1910,Central Kansas League,1910-05-31,1,regular,P1769108,Snider,
KFTLKJD,1910,Central Kansas League,1910-05-31,2,regular,P1769108,Snider,
KFJVZZC,1910,Central Kansas League,1910-06-01,0,regular,P1398180,Snyder,
MQMPLPH,1910,Central Kansas League,1910-06-03,0,regular,P5958415,,
ZGJKZPW,1910,Central Kansas League,1910-06-04,0,regular,P9581480,Hamlin,
YKYXZDR,1910,Central Kansas League,1910-06-14,0,regular,P2208639,Graham,
CBBBQHF,1910,Central Kansas League,1910-06-15,0,regular,P7178011,Woods,
CBBBQHF,1910,Central Kansas League,1910-06-15,0,regular,P1544346,Colbert,
CRYCYYM,1910,Central Kansas League,1910-06-16,0,regular,P1769108,Snider,
BHHQTRK,1910,Central Kansas League,1910-06-25,0,regular,P1161220,Mythen,
BFLVMPT,1910,Central Kansas League,1910-06-27,0,regular,P1161220,Mythen,
ZBVNDRB,1910,Central Kansas League,1910-06-27,0,regular,P9581480,Hamlin,
ZRVPQFL,1910,Central Kansas League,1910-06-28,0,regular,P1161220,Mythen,
KGWQYCG,1910,Central Kansas League,1910-06-28,0,regular,P9581480,Hamlin,
NDXYRPF,1910,Central Kansas League,1910-06-29,0,regular,P1161220,Mythen,
GGQYLKT,1910,Central Kansas League,1910-06-29,0,regular,P9581480,Hamlin,
GGQYLKT,1910,Central Kansas League,1910-06-29,0,regular,P2844318,Ahearn,
TJGYNPB,1910,Central Kansas League,1910-06-30,0,regular,P2208639,Graham,
BQLVJGT,1910,Central Kansas League,1910-07-01,0,regular,P2208639,Graham,
YNBJYPZ,1910,Central Kansas League,1910-07-04,1,regular,P1161220,Mythen,
