league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1912,Carolina Association,regular,P8999923,Agnew,,Charlotte,1912-04-25,1912-05-22,22,0,0,22,0,0,0,0,0,0,0,0
1912,Carolina Association,regular,P6702502,Agnews,,Charlotte,1912-05-02,1912-05-02,1,0,0,1,0,0,0,0,0,0,0,0
1912,Carolina Association,regular,P7806913,Ballinger,,Greensboro,1912-05-01,1912-05-01,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P9321495,Barbare,,Greenville,1912-04-26,1912-05-22,21,0,0,0,21,0,0,0,0,0,0,0
1912,Carolina Association,regular,P8036901,Barbore,,Greenville,1912-04-25,1912-04-25,1,0,0,0,1,0,0,0,0,0,0,0
1912,Carolina Association,regular,P9271903,Bauswine,,Charlotte,1912-05-15,1912-05-17,2,2,0,0,0,0,0,0,0,0,0,2
1912,Carolina Association,regular,P9130992,Bayne,,Charlotte,1912-04-25,1912-04-25,1,0,1,0,0,0,0,0,0,0,0,0
1912,Carolina Association,regular,P3212660,Bentley,,Charlotte,1912-04-25,1912-05-22,19,0,0,0,0,0,19,0,0,19,0,0
1912,Carolina Association,regular,P9333715,Betsill,,Spartanburg,1912-05-02,1912-05-02,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P6309266,Biting,,Anderson,1912-05-06,1912-05-22,12,0,0,0,12,0,0,0,0,0,0,0
1912,Carolina Association,regular,P1910510,Blackstone,,Greenville,1912-04-25,1912-05-22,22,0,0,0,0,0,22,22,0,0,0,0
1912,Carolina Association,regular,P4661648,Bowen,,Anderson,1912-05-13,1912-05-13,1,0,0,0,0,0,1,0,0,1,0,0
1912,Carolina Association,regular,P2664387,Bowen,,Greenville,1912-05-06,1912-05-14,7,0,0,0,0,7,0,0,0,0,0,0
1912,Carolina Association,regular,P1696391,Bowers,,Anderson,1912-04-25,1912-05-11,10,0,0,0,0,0,9,8,1,0,0,0
1912,Carolina Association,regular,P2345799,Boyle,,Winston-Salem,1912-04-25,1912-05-21,19,8,0,0,0,0,9,1,0,8,0,8
1912,Carolina Association,regular,P7846398,Boyne,,Charlotte,1912-04-26,1912-05-22,21,0,20,0,0,0,1,0,0,1,0,0
1912,Carolina Association,regular,P9152560,Brandon,,Winston-Salem,1912-05-09,1912-05-09,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P0514983,Brent,,Winston-Salem,1912-05-14,1912-05-22,8,0,0,0,0,0,8,6,2,0,0,0
1912,Carolina Association,regular,P2381360,Brown,,Greenville,1912-04-25,1912-05-22,22,0,0,9,0,13,0,0,0,0,0,0
1912,Carolina Association,regular,P1820259,Buchy,,Greenville,1912-04-27,1912-04-27,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P1780723,Bushy,,Greenville,1912-05-02,1912-05-02,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P5746656,Callahan,,Winston-Salem,1912-04-25,1912-04-27,3,0,0,0,0,3,0,0,0,0,0,0
1912,Carolina Association,regular,P3415073,Calmes,,Winston-Salem,1912-04-25,1912-05-17,18,0,17,0,0,0,1,1,0,0,0,0
1912,Carolina Association,regular,P8816641,Clames,,Winston-Salem,1912-05-09,1912-05-09,1,0,1,0,0,0,0,0,0,0,0,0
1912,Carolina Association,regular,P0977377,Clapp,,Greensboro,1912-04-25,1912-05-22,23,1,22,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P2209999,Cleveland,,Charlotte,1912-04-25,1912-05-18,17,0,0,1,0,0,2,0,0,2,14,0
1912,Carolina Association,regular,P1515316,Cook,,Greenville,1912-04-25,1912-05-08,4,4,0,0,0,0,0,0,0,0,0,4
1912,Carolina Association,regular,P6091438,Coutts,,Winston-Salem,1912-05-17,1912-05-22,5,0,0,0,0,0,5,3,0,2,0,0
1912,Carolina Association,regular,P0024765,Coveney,,Spartanburg,1912-04-25,1912-05-22,21,1,0,0,0,0,0,0,0,0,20,1
1912,Carolina Association,regular,P8496600,Coveny,,Spartanburg,1912-04-27,1912-04-30,2,0,0,0,0,0,0,0,0,0,2,0
1912,Carolina Association,regular,P3357012,Cover,,Anderson,1912-05-02,1912-05-21,3,3,0,0,0,0,0,0,0,0,0,3
1912,Carolina Association,regular,P9200944,Doak,,Greensboro,1912-04-25,1912-05-22,17,0,0,1,16,0,0,0,0,0,0,0
1912,Carolina Association,regular,P1424451,Doak,,Spartanburg,1912-04-25,1912-05-22,18,0,0,0,0,0,18,17,1,0,0,0
1912,Carolina Association,regular,P4037729,Doak,C.,Greensboro,1912-05-02,1912-05-11,3,0,0,0,2,0,1,0,1,0,0,0
1912,Carolina Association,regular,P8045782,Doak,E.,Spartanburg,1912-05-02,1912-05-11,3,0,0,0,0,0,3,3,0,0,0,0
1912,Carolina Association,regular,P0503968,Doak [Gbo],,Greensboro,1912-05-04,1912-05-04,1,0,0,0,1,0,0,0,0,0,0,0
1912,Carolina Association,regular,P8526207,Doak [Spa],,Spartanburg,1912-05-04,1912-05-04,1,0,0,0,0,0,1,1,0,0,0,0
1912,Carolina Association,regular,P0090637,Donnelly,,Greenville,1912-05-01,1912-05-18,7,5,0,0,0,0,1,0,0,1,0,5
1912,Carolina Association,regular,P8633102,Doyle,,Greensboro,1912-04-25,1912-05-22,22,0,0,21,0,0,1,0,0,1,0,0
1912,Carolina Association,regular,P9225789,Elcock,,Winston-Salem,1912-05-03,1912-05-03,1,0,0,0,0,0,0,0,0,0,0,0
1912,Carolina Association,regular,P1176465,Eldridge,,Greensboro,1912-04-25,1912-05-21,9,8,0,0,0,0,0,0,0,0,0,8
1912,Carolina Association,regular,P0221707,Everett,,Winston-Salem,1912-05-04,1912-05-04,1,0,0,0,0,1,0,0,0,0,0,0
1912,Carolina Association,regular,P0966771,Fitzpatrick,,Greenville,1912-04-27,1912-04-27,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P2139658,Flowers,,Greenville,1912-04-26,1912-05-20,7,7,0,0,0,0,0,0,0,0,0,7
1912,Carolina Association,regular,P1722347,Frey,,Anderson,1912-04-27,1912-05-18,7,7,0,0,0,0,0,0,0,0,0,7
1912,Carolina Association,regular,P1950573,Galvin,,Winston-Salem,1912-04-25,1912-05-22,23,0,0,0,0,0,0,0,0,0,23,0
1912,Carolina Association,regular,P7637824,Gates,,Winston-Salem,1912-04-25,1912-05-22,23,0,0,1,22,0,0,0,0,0,0,0
1912,Carolina Association,regular,P9531870,Gilroy,,Greenville,1912-05-07,1912-05-21,6,4,0,0,0,0,1,0,0,1,0,4
1912,Carolina Association,regular,P7659952,Gleischman,,Anderson,1912-04-25,1912-05-22,22,0,21,0,0,0,1,1,0,0,0,0
1912,Carolina Association,regular,P2994509,Goodman,,Greenville,1912-04-25,1912-05-22,22,0,22,0,0,0,0,0,0,0,0,0
1912,Carolina Association,regular,P4727758,Hague,,Spartanburg,1912-05-13,1912-05-13,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P0903909,Hall,,Spartanburg,1912-05-11,1912-05-20,4,4,0,0,0,0,0,0,0,0,0,4
1912,Carolina Association,regular,P2597640,Harbinson,,Spartanburg,1912-05-22,1912-05-22,1,0,0,0,1,0,0,0,0,0,0,0
1912,Carolina Association,regular,P2149242,Harbison,,Spartanburg,1912-04-25,1912-05-21,22,0,1,2,20,0,0,0,0,0,0,0
1912,Carolina Association,regular,P3293514,Hardfrandt,,Winston-Salem,1912-04-25,1912-05-08,5,5,0,0,0,0,0,0,0,0,0,5
1912,Carolina Association,regular,P3659833,Hauser,,Greensboro,1912-04-25,1912-05-20,6,3,0,0,2,0,0,0,0,0,0,3
1912,Carolina Association,regular,P7844417,High,,Charlotte,1912-05-04,1912-05-22,6,5,0,0,0,0,1,1,0,0,0,5
1912,Carolina Association,regular,P8453547,Hillix,,Charlotte,1912-04-26,1912-05-22,21,0,0,0,0,0,21,0,21,0,0,0
1912,Carolina Association,regular,P5804892,Hogue,,Spartanburg,1912-05-09,1912-05-22,5,5,0,0,0,0,0,0,0,0,0,5
1912,Carolina Association,regular,P7349574,Howard,,Charlotte,1912-04-30,1912-04-30,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P4199057,Howard,,Winston-Salem,1912-05-13,1912-05-13,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P8597269,Jackson,,Winston-Salem,1912-04-30,1912-05-10,10,0,0,0,0,9,1,0,0,1,0,0
1912,Carolina Association,regular,P7228152,James,,Greenville,1912-04-30,1912-05-03,5,0,0,5,0,0,0,0,0,0,0,0
1912,Carolina Association,regular,P6968875,Jeter,,Greensboro,1912-05-09,1912-05-11,2,2,0,0,0,0,0,0,0,0,0,2
1912,Carolina Association,regular,P6389366,Kelly,,Anderson,1912-04-25,1912-05-22,19,0,0,0,0,19,0,0,0,0,0,0
1912,Carolina Association,regular,P9126885,Kelly,,Spartanburg,1912-04-25,1912-05-22,20,1,0,0,0,0,20,0,0,20,0,1
1912,Carolina Association,regular,P8514973,Kelly,J.,Spartanburg,1912-04-30,1912-05-01,3,0,0,0,0,0,3,0,0,3,0,0
1912,Carolina Association,regular,P5276027,Kelly,W.,Anderson,1912-04-30,1912-05-01,3,0,0,0,0,3,0,0,0,0,0,0
1912,Carolina Association,regular,P5558776,Kipp,,Spartanburg,1912-04-25,1912-05-22,23,0,0,21,1,1,0,0,0,0,0,0
1912,Carolina Association,regular,P7253716,Laval,,Spartanburg,1912-04-25,1912-05-22,23,2,23,0,0,0,0,0,0,0,0,2
1912,Carolina Association,regular,P9583471,Leopard,,Greenville,1912-05-15,1912-05-15,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P9306593,Lipscomb,,Greenville,1912-04-27,1912-05-02,2,1,0,0,0,0,0,0,0,0,1,1
1912,Carolina Association,regular,P6888006,Lipscombe,,Greenville,1912-05-08,1912-05-08,1,0,0,0,0,0,0,0,0,0,1,0
1912,Carolina Association,regular,P1368084,Lockerbie,,Spartanburg,1912-05-09,1912-05-09,1,0,0,0,0,0,0,0,0,0,1,0
1912,Carolina Association,regular,P5256407,Lockoby,,Spartanburg,1912-05-20,1912-05-21,2,0,0,0,1,0,1,0,0,1,1,0
1912,Carolina Association,regular,P7775165,Lohr,,Greenville,1912-04-25,1912-05-17,18,0,0,0,0,0,18,0,18,0,0,0
1912,Carolina Association,regular,P7959208,Loman,,Greensboro,1912-04-25,1912-05-22,23,0,0,0,0,0,23,0,1,22,0,0
1912,Carolina Association,regular,P3113967,Lynch,,Greensboro,1912-04-27,1912-05-11,5,2,0,0,0,0,0,0,0,0,0,2
1912,Carolina Association,regular,P7974038,Malcolmson,,Charlotte,1912-04-25,1912-05-22,15,0,2,0,0,0,0,0,0,0,12,0
1912,Carolina Association,regular,P3850364,Martin,,Greensboro,1912-04-27,1912-05-22,5,5,0,0,0,0,0,0,0,0,0,5
1912,Carolina Association,regular,P4855311,Martin,,Spartanburg,1912-04-25,1912-05-22,22,0,0,0,0,22,0,0,0,0,0,0
1912,Carolina Association,regular,P4931948,Martin [Gbo],,Greensboro,1912-05-02,1912-05-02,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P4649547,Martin [Spa],,Spartanburg,1912-05-02,1912-05-02,1,0,0,0,0,1,0,0,0,0,0,0
1912,Carolina Association,regular,P5520144,McCarthy,,Anderson,1912-04-30,1912-05-22,19,0,0,0,6,0,13,0,13,0,0,0
1912,Carolina Association,regular,P9424048,McCoy,,Anderson,1912-04-25,1912-05-22,22,0,1,0,0,0,20,1,0,19,2,0
1912,Carolina Association,regular,P3729460,McFarlin,,Greenville,1912-05-09,1912-05-22,4,4,0,0,0,0,0,0,0,0,0,4
1912,Carolina Association,regular,P6583489,McKeathen,,Greensboro,1912-04-26,1912-04-26,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P6041285,McKeithan,,Greensboro,1912-04-30,1912-05-21,8,8,0,0,0,0,0,0,0,0,0,8
1912,Carolina Association,regular,P5879918,McMillan,,Charlotte,1912-05-02,1912-05-06,3,0,0,0,0,0,2,0,0,2,0,0
1912,Carolina Association,regular,P0829384,Milliman,,Anderson,1912-04-26,1912-05-22,18,0,0,0,0,0,1,0,1,0,17,0
1912,Carolina Association,regular,P7298207,Millman,,Anderson,1912-04-25,1912-05-06,3,0,0,0,0,0,0,0,0,0,3,0
1912,Carolina Association,regular,P2702357,Noojin,,Greenville,1912-05-18,1912-05-22,4,0,0,0,0,0,4,0,4,0,0,0
1912,Carolina Association,regular,P9510898,O'Brien,,Winston-Salem,1912-04-27,1912-05-01,3,2,0,0,0,0,1,1,0,0,0,2
1912,Carolina Association,regular,P9758035,O'Halloran,,Winston-Salem,1912-04-25,1912-05-22,20,0,0,20,0,0,0,0,0,0,0,0
1912,Carolina Association,regular,P5672911,Osteen,,Charlotte,1912-04-25,1912-05-22,23,0,0,0,1,22,0,0,0,0,0,0
1912,Carolina Association,regular,P6918529,Owens,,Anderson,1912-04-25,1912-05-22,22,0,0,20,2,0,1,0,0,1,0,0
1912,Carolina Association,regular,P1204470,Parnell,,Greenville,1912-04-25,1912-04-26,2,0,0,0,0,0,0,0,0,0,2,0
1912,Carolina Association,regular,P4394514,Petit,,Winston-Salem,1912-05-08,1912-05-08,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P8217126,Petitt,,Winston-Salem,1912-05-04,1912-05-04,1,1,0,0,0,0,0,0,0,0,0,1
1912,Carolina Association,regular,P1013638,Pettit,,Winston-Salem,1912-04-30,1912-05-03,2,2,0,0,0,0,0,0,0,0,0,2
1912,Carolina Association,regular,P4582368,Piez,,Greenville,1912-04-25,1912-05-22,22,0,0,1,0,0,21,0,0,21,0,0
1912,Carolina Association,regular,P7127931,Powell,,Greenville,1912-04-27,1912-05-22,20,0,0,0,0,0,0,0,0,0,20,0
1912,Carolina Association,regular,P8118200,Pugh,,Spartanburg,1912-04-30,1912-05-02,3,0,1,0,0,0,2,1,0,1,0,0
1912,Carolina Association,regular,P1566694,Ramsey,,Anderson,1912-04-26,1912-05-22,10,7,0,0,1,0,1,0,1,0,1,7
1912,Carolina Association,regular,P6138968,Ray,,Winston-Salem,1912-04-26,1912-05-03,3,3,0,0,0,0,0,0,0,0,0,3
1912,Carolina Association,regular,P0076951,Reis,,Spartanburg,1912-04-26,1912-05-13,6,6,0,0,0,0,0,0,0,0,0,6
1912,Carolina Association,regular,P7456953,Richardson,,Winston-Salem,1912-05-10,1912-05-14,3,0,0,0,0,3,0,0,0,0,0,0
1912,Carolina Association,regular,P6435313,Rickard,,Greensboro,1912-04-25,1912-05-22,23,0,0,0,0,0,23,1,22,0,0,0
1912,Carolina Association,regular,P3554447,Schumaker,,Winston-Salem,1912-04-27,1912-04-27,1,0,0,0,0,0,1,0,1,0,0,0
1912,Carolina Association,regular,P8474707,Seigfired,,Charlotte,1912-04-25,1912-04-25,1,0,0,0,0,1,0,0,0,0,0,0
1912,Carolina Association,regular,P1825187,Sheesley,,Charlotte,1912-04-25,1912-05-15,6,6,0,0,0,0,0,0,0,0,0,6
1912,Carolina Association,regular,P7087788,Shumaker,,Winston-Salem,1912-04-25,1912-05-22,22,0,3,0,0,0,19,0,19,0,0,0
1912,Carolina Association,regular,P0759516,Slater,,Greensboro,1912-04-25,1912-05-22,23,0,0,0,0,0,23,23,0,0,0,0
1912,Carolina Association,regular,P8870918,Smith,,Charlotte,1912-04-26,1912-05-20,5,5,0,0,0,0,0,0,0,0,0,5
1912,Carolina Association,regular,P5983657,Smith,,Spartanburg,1912-04-27,1912-05-21,5,5,0,0,0,0,0,0,0,0,0,5
1912,Carolina Association,regular,P7996881,Smith,,Winston-Salem,1912-04-25,1912-05-22,20,0,0,4,0,8,10,8,0,2,0,0
1912,Carolina Association,regular,P1246275,Smith,D.,Winston-Salem,1912-05-07,1912-05-07,1,0,0,0,0,0,1,1,0,0,0,0
