league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,New York State League,regular,P9998522,Ahles,,Utica,1915-05-08,1915-09-05,3,0,0,0,0,0,0,0,0,0,3,0
1915,New York State League,regular,P9383176,Barberich,,Syracuse,1915-06-12,1915-06-12,1,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P2077701,Barton,,Scranton,1915-05-08,1915-05-08,1,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P8771316,Baxter,,Albany,1915-06-05,1915-06-05,2,0,0,0,0,2,0,0,0,0,0,0
1915,New York State League,regular,P2006538,Becker,,Binghamton,1915-05-08,1915-05-15,3,0,0,0,0,0,3,0,3,0,0,0
1915,New York State League,regular,P9125281,Bemis,,Elmira,1915-07-10,1915-07-10,1,0,0,0,0,0,0,0,0,0,1,0
1915,New York State League,regular,P5520004,Bereski,,Wilkes-Barre,1915-06-05,1915-06-05,1,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P6739608,Beretski,,Wilkes-Barre,1915-07-17,1915-09-05,3,3,0,0,0,0,0,0,0,0,0,3
1915,New York State League,regular,P5669066,Berretski,,Wilkes-Barre,1915-05-15,1915-05-15,1,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P3060381,Blake,,Binghamton,1915-08-14,1915-08-28,6,0,0,0,0,0,6,0,6,0,0,0
1915,New York State League,regular,P7464414,Brackett,,Albany,1915-06-05,1915-08-21,6,0,0,0,0,0,6,0,3,4,0,0
1915,New York State League,regular,P7154496,Brady,,Albany,1915-06-05,1915-06-05,2,0,0,0,0,0,0,0,0,0,2,0
1915,New York State League,regular,P4565454,Breckinridge,,Troy,1915-07-10,1915-07-17,4,0,0,0,0,0,4,0,4,0,0,0
1915,New York State League,regular,P2620831,Brieger,,Wilkes-Barre,1915-06-26,1915-08-14,4,0,0,0,0,0,0,0,0,0,4,0
1915,New York State League,regular,P7686938,Briger,,Wilkes-Barre,1915-06-12,1915-06-12,1,0,0,0,0,0,0,0,0,0,1,0
1915,New York State League,regular,P4673214,Brower,,Utica,1915-07-10,1915-08-14,2,2,0,0,0,0,0,0,0,0,0,2
1915,New York State League,regular,P7474951,Brown,,Wilkes-Barre,1915-05-15,1915-05-15,2,0,0,0,0,0,2,0,0,2,0,0
1915,New York State League,regular,P8807804,Brugg,,Troy,1915-05-22,1915-05-22,1,0,0,0,0,0,0,0,0,0,1,0
1915,New York State League,regular,P5179253,Bruggy,,Troy,1915-06-26,1915-07-10,3,0,2,0,0,0,0,0,0,0,1,0
1915,New York State League,regular,P3809586,Buck,,Utica,1915-07-17,1915-07-17,1,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P3662254,Buckels,,Troy,1915-05-08,1915-07-17,2,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P4889102,Buckles,,Troy,1915-06-26,1915-08-07,3,3,0,0,0,0,0,0,0,0,0,3
1915,New York State League,regular,P4626968,Burke,,Wilkes-Barre,1915-05-15,1915-05-15,2,0,0,0,2,0,0,0,0,0,0,0
1915,New York State League,regular,P4169832,Calhoun,,Binghamton,1915-05-08,1915-08-21,19,0,18,0,0,0,0,0,0,0,0,0
1915,New York State League,regular,P5519255,Caporel,,Elmira,1915-07-10,1915-08-28,2,2,0,0,0,0,0,0,0,0,0,2
1915,New York State League,regular,P4674279,Clougher,,Albany,1915-05-15,1915-09-05,11,0,0,0,0,0,0,0,0,0,11,0
1915,New York State League,regular,P8025169,Cook,,Troy,1915-07-10,1915-07-17,4,0,0,4,0,0,0,0,0,0,0,0
1915,New York State League,regular,P1357654,Corcoran,,Scranton,1915-05-08,1915-07-31,6,0,0,0,4,0,2,1,1,0,0,0
1915,New York State League,regular,P7858152,Cornwall,,Syracuse,1915-06-19,1915-07-17,3,3,0,0,0,0,0,0,0,0,0,3
1915,New York State League,regular,P9797996,Cornwell,,Syracuse,1915-06-12,1915-08-28,3,3,0,0,0,0,0,0,0,0,0,3
1915,New York State League,regular,P0556149,Cranston,,Utica,1915-05-22,1915-05-22,1,0,0,1,0,0,0,0,0,0,0,0
1915,New York State League,regular,P0021653,Cruickshank,,Scranton,1915-05-08,1915-07-31,4,0,1,0,0,0,3,0,3,0,0,0
1915,New York State League,regular,P8514418,Cruikshank,,Scranton,1915-06-19,1915-07-31,2,0,1,0,0,0,1,0,1,0,0,0
1915,New York State League,regular,P5693779,Curry,,Binghamton,1915-05-08,1915-08-28,27,0,0,27,0,0,0,0,0,0,0,0
1915,New York State League,regular,P0255772,DeGroff,,Wilkes-Barre,1915-05-15,1915-05-15,2,0,0,0,0,0,2,2,0,0,0,0
1915,New York State League,regular,P4828507,Deininger,,Syracuse,1915-06-26,1915-08-28,6,0,2,0,0,0,4,0,0,4,0,0
1915,New York State League,regular,P9012662,Dessau,,Elmira,1915-07-10,1915-07-10,1,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P3911600,Dollard,,Albany,1915-09-05,1915-09-05,1,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P8087246,Doyle,,Elmira,1915-07-10,1915-07-10,1,1,0,0,0,0,0,0,0,0,0,1
1915,New York State League,regular,P5500574,Duchesnil,,Scranton,1915-06-12,1915-08-28,4,4,0,0,0,0,0,0,0,0,0,4
1915,New York State League,regular,P7814071,Durgin,,Albany,1915-06-05,1915-08-21,6,0,6,0,0,0,0,0,0,0,0,0
1915,New York State League,regular,P7750762,Evans,,Utica,1915-05-22,1915-05-22,1,0,0,0,1,0,0,0,0,0,0,0
