key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,away.score.20,away.score.21,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19,home.score.20,home.score.21
TBFTMRQ,1915-04-22,0,North Carolina State,regular,,Greensboro,6,,Charlotte,3,,1000,2:15,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 23, 1915",2,1,1,0,0,1,0,0,1,,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,
CQBHJDY,1915-04-22,0,North Carolina State,regular,,Durham,3,,Raleigh,4,,3500,2:15,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 23, 1915",0,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,0,0,2,0,0,0,0,0,0,0,1,,,,,,,,
NXMCPGM,1915-04-22,0,North Carolina State,regular,,Asheville,7,,Winston-Salem,1,,1500,1:55,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 23, 1915",3,0,0,1,1,0,1,1,0,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,
ZBNSLZQ,1915-04-23,0,North Carolina State,regular,,Greensboro,8,,Charlotte,4,,600,2:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 24, 1915",0,0,1,4,2,0,0,0,1,,,,,,,,,,,,,1,1,0,0,0,2,0,0,0,,,,,,,,,,,,
ZDMRHJT,1915-04-23,0,North Carolina State,regular,,Durham,5,,Raleigh,3,,1000,1:43,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 24, 1915",1,0,0,4,0,0,0,0,0,,,,,,,,,,,,,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,
WBXKHHQ,1915-04-23,0,North Carolina State,regular,,Asheville,7,,Winston-Salem,0,,500,2:10,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 24, 1915",5,0,0,0,1,1,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
YCDCZSW,1915-04-24,0,North Carolina State,regular,,Greensboro,11,,Charlotte,5,,1300,3:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 25, 1915",0,3,0,0,0,0,1,0,7,,,,,,,,,,,,,3,2,0,0,0,0,0,0,0,,,,,,,,,,,,
ZMFQPHW,1915-04-24,0,North Carolina State,regular,,Durham,2,,Raleigh,5,,825,1:38,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 25, 1915",0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,1,3,0,0,0,1,0,0,x,,,,,,,,,,,,
BJNNFSS,1915-04-24,0,North Carolina State,regular,,Asheville,4,,Winston-Salem,5,,600,2:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 25, 1915",2,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,1,0,2,0,0,0,0,0,0,0,0,2,,,,,,,,,
FSYKBVL,1915-04-26,0,North Carolina State,regular,,Asheville,11,,Charlotte,5,,550,2:20,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150422.txt,"Charlotte Daily Observer, April 27, 1915",0,0,3,0,0,1,4,1,2,,,,,,,,,,,,,1,0,0,0,0,0,0,4,0,,,,,,,,,,,,
