key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9
HMJFPCZ,1915-05-19,0,Buckeye,regular,,Akron,3,,Canton,4,,400,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 20, 1915",1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,x
HQVPKVJ,1915-05-19,0,Buckeye,regular,,Findlay,,,Lima,,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 20, 1915",,,,,,,,,,,,,,,,,,
WWGGJNJ,1915-05-19,0,Buckeye,regular,,Marion,,,Newark,,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 20, 1915",,,,,,,,,,,,,,,,,,
QRHGXDL,1915-05-20,0,Buckeye,regular,,Akron,,,Canton,,,,,,postponed,rain,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 21, 1915",,,,,,,,,,,,,,,,,,
QTLZWDW,1915-05-20,0,Buckeye,regular,,Findlay,,,Lima,,,,,,postponed,rain,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 21, 1915",,,,,,,,,,,,,,,,,,
HMVWKKD,1915-05-20,0,Buckeye,regular,,Marion,,,Newark,,,,,,postponed,rain,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 21, 1915",,,,,,,,,,,,,,,,,,
WTWXMWB,1915-05-21,0,Buckeye,regular,,Canton,4,,Akron,3,,1000,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 22, 1915",0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1
ZXWJJJS,1915-05-21,0,Buckeye,regular,,Findlay,,,Lima,,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 22, 1915",,,,,,,,,,,,,,,,,,
TZJBSBR,1915-05-21,0,Buckeye,regular,,Newark,,,Marion,,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 22, 1915",,,,,,,,,,,,,,,,,,
FNQQNVD,1915-05-22,0,Buckeye,regular,,Canton,3,,Akron,4,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 23, 1915",0,1,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0
YCJNLWB,1915-05-22,0,Buckeye,regular,,Lima,,,Findlay,,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 23, 1915",,,,,,,,,,,,,,,,,,
CGLRNMV,1915-05-22,0,Buckeye,regular,,Newark,,,Marion,,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 23, 1915",,,,,,,,,,,,,,,,,,
SPLSTXJ,1915-05-23,0,Buckeye,regular,,Marion,16,,Canton,7,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 24, 1915",0,1,5,2,4,0,1,0,3,2,0,0,1,0,0,0,4,0
PZVBXKS,1915-05-23,0,Buckeye,regular,,Akron,4,,Lima,20,,2000,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 24, 1915",0,0,0,0,1,0,0,2,1,0,6,0,3,1,0,7,3,x
RVNJFPL,1915-05-23,0,Buckeye,regular,,Findlay,7,,Newark,7,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 24, 1915",6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHFKMQW,1915-05-24,0,Buckeye,regular,,Marion,,,Canton,,,,,,postponed,rain,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 25, 1915",,,,,,,,,,,,,,,,,,
HSBXCCD,1915-05-24,0,Buckeye,regular,,Akron,4,,Lima,6,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 25, 1915",0,0,4,0,0,0,0,0,0,4,0,0,2,0,0,0,0,x
FJZXNCC,1915-05-24,0,Buckeye,regular,,Findlay,1,,Newark,4,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 25, 1915",0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,x
HGDFZHW,1915-05-25,0,Buckeye,regular,,Akron,3,,Findlay,2,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 26, 1915",2,0,1,0,0,,,,,1,0,1,0,0,,,,
PXBFTWB,1915-05-25,0,Buckeye,regular,,Newark,2,,Lima,4,,,,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 26, 1915",0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,x
XYJFSZT,1915-05-25,0,Buckeye,regular,,Canton,0,,Marion,6,,,1:30,,final,,,1915/1915-CER/BUCK-19150519.txt,"Canton Evening Repository, May 26, 1915",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,x
TGKJZSN,1915-05-26,0,Buckeye,regular,,Akron,5,,Findlay,1,,,,,final,,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 27, 1915",0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1
HSJXLLK,1915-05-26,0,Buckeye,regular,,Newark,,,Lima,,,,,,postponed,rain,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 27, 1915",,,,,,,,,,,,,,,,,,
JFWNMFL,1915-05-26,0,Buckeye,regular,,Canton,,,Marion,,,,,,postponed,rain,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 27, 1915",,,,,,,,,,,,,,,,,,
YZPXXNP,1915-05-27,0,Buckeye,regular,,Newark,5,,Akron,7,,,,,final,,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 28, 1915",0,2,0,0,0,0,3,0,0,1,0,0,1,1,1,0,3,x
QBHKBPM,1915-05-27,0,Buckeye,regular,,Lima,6,,Canton,0,,,,,final,,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 28, 1915",1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
CBZCMSD,1915-05-27,0,Buckeye,regular,,Findlay,11,,Marion,1,,,,,final,,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 28, 1915",0,0,0,3,3,3,0,0,2,1,0,0,0,0,0,0,0,0
LGWQPBQ,1915-05-28,0,Buckeye,regular,,Newark,7,,Akron,6,,,,,final,,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 29, 1915",4,2,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2
FSHXBJP,1915-05-28,0,Buckeye,regular,,Lima,4,,Canton,3,,,,,final,,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 29, 1915",0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0
MBMVPKB,1915-05-28,0,Buckeye,regular,,Findlay,,,Marion,,,,,,postponed,rain,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 29, 1915",,,,,,,,,,,,,,,,,,
HMQWKGT,1915-05-29,0,Buckeye,regular,,Newark,,,Canton,,,,,,postponed,wet grounds,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 30, 1915",,,,,,,,,,,,,,,,,,
CWTHKTS,1915-05-30,0,Buckeye,regular,,Newark,,,Canton,,,,,,postponed,wet grounds,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, May 31, 1915",,,,,,,,,,,,,,,,,,
NVBSXZG,1915-05-31,2,Buckeye,regular,,Canton,4,,Akron,1,,,,,final,,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, June 1, 1915",3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
KVJCXKW,1915-05-31,1,Buckeye,regular,,Akron,0,,Canton,3,,,,,final,,,1915/1915-CER/BUCK-19150526.txt,"Canton Evening Repository, June 1, 1915",0,0,0,0,0,0,0,,,0,0,0,1,2,0,x,,
YZMYWVW,1915-06-04,0,Buckeye,regular,,Canton,,,Findlay,,,,,,final,,,1915/1915-CER/BUCK-19150602.txt,"Canton Evening Repository, June 5, 1915",,,,,,,,,,,,,,,,,,
GYWDZQD,1915-06-06,1,Buckeye,regular,,Canton,,,Newark,,,,,,final,,,1915/1915-CER/BUCK-19150602.txt,"Canton Evening Repository, June 7, 1915",,,,,,,,,,,,,,,,,,
RVZYTFF,1915-06-06,2,Buckeye,regular,,Canton,,,Newark,,,,,,final,,,1915/1915-CER/BUCK-19150602.txt,"Canton Evening Repository, June 7, 1915",,,,,,,,,,,,,,,,,,
NKFYQFX,1915-06-09,0,Buckeye,regular,,Canton,,,Findlay,,,,,,final,,,1915/1915-CER/BUCK-19150602.txt,"Canton Evening Repository, June 10, 1915",,,,,,,,,,,,,,,,,,
ZNQPSCB,1915-06-10,0,Buckeye,regular,,Canton,,,Lima,,,,,,final,,,1915/1915-CER/BUCK-19150602.txt,"Canton Evening Repository, June 11, 1915",,,,,,,,,,,,,,,,,,
LNBZPXG,1915-06-11,0,Buckeye,regular,,Canton,,,Lima,,,,,,final,,,1915/1915-CER/BUCK-19150602.txt,"Canton Evening Repository, June 12, 1915",,,,,,,,,,,,,,,,,,
