key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
SSQHKRF,1915-05-20,0,Colonial,regular,,Brockton,5,,Fall River,2,,,1:40,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 21, 1915",0,0,0,1,0,1,0,0,3,,,,,,,1,0,0,0,0,1,0,0,0,,,,,,
CKTJNRC,1915-05-20,0,Colonial,regular,,New Haven,2,,Hartford,3,,,1:50,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 21, 1915",1,0,0,1,0,0,0,0,0,,,,,,,2,0,0,0,0,1,0,0,x,,,,,,
VDZDTNC,1915-05-20,0,Colonial,regular,,Pawtucket,6,,Springfield,8,,"1,200",2:05,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 21, 1915",3,0,0,0,1,0,2,0,0,,,,,,,1,5,0,0,0,0,1,1,x,,,,,,
QZCDVKQ,1915-05-20,0,Colonial,regular,,New Bedford,6,,Taunton,9,,,2:05,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 21, 1915",2,0,0,0,2,0,1,0,0,,,,,,,0,0,1,2,3,3,0,0,x,,,,,,
WHGRSPS,1915-05-21,0,Colonial,regular,,Fall River,3,,Brockton,4,,,1:50,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 22, 1915",0,2,1,0,0,0,0,0,0,,,,,,,0,2,0,0,0,2,0,0,x,,,,,,
XSKWKCJ,1915-05-21,0,Colonial,regular,,New Haven,,,Hartford,,,,,,postponed,rain,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGGMLTM,1915-05-21,0,Colonial,regular,,Taunton,,,New Bedford,,,,,,postponed,rain,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSZJNDZ,1915-05-21,0,Colonial,regular,,Pawtucket,,,Springfield,,,,,,postponed,rain,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGYWSTH,1915-05-22,0,Colonial,regular,,Taunton,2,,Brockton,1,,700,1:45,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 23, 1915",0,0,0,0,0,2,0,0,0,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,
ZRRWNFF,1915-05-22,0,Colonial,regular,,Springfield,,,Hartford,,,,,,postponed,rain,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 23, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRTLZHH,1915-05-22,0,Colonial,regular,,Fall River,1,,New Bedford,2,,,1:50,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 23, 1915",0,0,1,0,0,0,0,0,0,,,,,,,2,0,0,0,0,0,0,0,x,,,,,,
CNCGBZD,1915-05-22,0,Colonial,regular,,Pawtucket,3,,New Haven,0,,"1,500",1:36,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 23, 1915",0,0,0,0,0,3,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
GHVWGJN,1915-05-23,0,Colonial,regular,,Pawtucket,0,,New Haven,4,,,1:38,,final,,,1915/1915-HC/HC-19150520.txt,"Hartford Courant, May 24, 1915",0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,2,1,0,0,x,,,,,,
