key,league,date,number,source,team1.name,team1.align,team1.score,team2.name,team2.align,team2.score,status_code,status_reason
19100330-PCLLAA-PCLVER-0,Pacific Coast League,1910-03-30,0,1910-LAH,Vernon,a,0,Los Angeles,h,1,final,
19100330-PCLOAK-PCLSAC-0,Pacific Coast League,1910-03-30,0,1910-OT,Oakland,a,2.0,Sacramento,h,18.0,final,
19100330-PCLPOR-PCLSFS-0,Pacific Coast League,1910-03-30,0,1910-SFE,Portland,a,0.0,San Francisco,h,4.0,final,
19100331-PCLLAA-PCLVER-0,Pacific Coast League,1910-03-31,0,1910-SFE,Vernon,a,10.0,Los Angeles,h,4.0,final,
19100331-PCLOAK-PCLSAC-0,Pacific Coast League,1910-03-31,0,1910-SFE,Oakland,a,3.0,Sacramento,h,2.0,final,
19100331-PCLPOR-PCLSFS-0,Pacific Coast League,1910-03-31,0,1910-SFE,Portland,a,2.0,San Francisco,h,2.0,completed early,darkness
19100401-PCLLAA-PCLVER-0,Pacific Coast League,1910-04-01,0,1910-SFE,Los Angeles,a,2.0,Vernon,h,8.0,final,
19100401-PCLOAK-PCLSAC-0,Pacific Coast League,1910-04-01,0,1910-SFE,Oakland,a,3.0,Sacramento,h,0.0,final,
19100401-PCLPOR-PCLSFS-0,Pacific Coast League,1910-04-01,0,1910-SFE,Portland,a,3.0,San Francisco,h,0.0,final,
19100402-PCLLAA-PCLVER-0,Pacific Coast League,1910-04-02,0,1910-SFE,Vernon,a,3.0,Los Angeles,h,2.0,final,
19100402-PCLOAK-PCLSAC-0,Pacific Coast League,1910-04-02,0,1910-SFE,Oakland,a,0.0,Sacramento,h,2.0,final,
19100402-PCLPOR-PCLSFS-0,Pacific Coast League,1910-04-02,0,1910-SFE,Portland,a,4.0,San Francisco,h,0.0,final,
19100403-PCLLAA-PCLVER-1,Pacific Coast League,1910-04-03,1,1910-SFE,Vernon,a,4.0,Los Angeles,h,1.0,final,
19100403-PCLLAA-PCLVER-2,Pacific Coast League,1910-04-03,2,1910-LAH,Vernon,a,1,Los Angeles,h,0,final,
19100403-PCLOAK-PCLSAC-0,Pacific Coast League,1910-04-03,0,1910-SFE,Oakland,a,1.0,Sacramento,h,4.0,final,
19100403-PCLPOR-PCLSFS-1,Pacific Coast League,1910-04-03,1,1910-SFE,Portland,a,4.0,San Francisco,h,5.0,final,
19100403-PCLPOR-PCLSFS-2,Pacific Coast League,1910-04-03,2,1910-SFE,Portland,a,2.0,San Francisco,h,4.0,final,
19100405-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-05,0,1910-SFE,Los Angeles,a,4.0,Sacramento,h,3.0,final,
19100405-PCLOAK-PCLSFS-0,Pacific Coast League,1910-04-05,0,1910-SFE,San Francisco,a,2.0,Oakland,h,1.0,final,
19100405-PCLPOR-PCLVER-0,Pacific Coast League,1910-04-05,0,1910-SFE,Portland,a,10.0,Vernon,h,1.0,final,
19100406-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-06,0,1910-SFE,Los Angeles,a,1.0,Sacramento,h,2.0,final,
19100406-PCLOAK-PCLSFS-0,Pacific Coast League,1910-04-06,0,1910-SFE,San Francisco,a,11.0,Oakland,h,5.0,final,
19100406-PCLPOR-PCLVER-0,Pacific Coast League,1910-04-06,0,1910-SFE,Portland,a,6.0,Vernon,h,3.0,final,
19100407-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-07,0,1910-SFE,Los Angeles,a,7.0,Sacramento,h,0.0,final,
19100407-PCLOAK-PCLSFS-0,Pacific Coast League,1910-04-07,0,1910-SFE,San Francisco,a,3.0,Oakland,h,1.0,final,
19100407-PCLPOR-PCLVER-0,Pacific Coast League,1910-04-07,0,1910-SFE,Portland,a,2.0,Vernon,h,5.0,final,
19100408-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-08,0,1910-SFE,Los Angeles,a,2.0,Sacramento,h,0.0,final,
19100408-PCLOAK-PCLSFS-0,Pacific Coast League,1910-04-08,0,1910-SFE,San Francisco,a,2.0,Oakland,h,6.0,final,
19100408-PCLPOR-PCLVER-0,Pacific Coast League,1910-04-08,0,1910-SFE,Portland,a,1.0,Vernon,h,2.0,final,
19100409-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-09,0,1910-SFE,Los Angeles,a,1.0,Sacramento,h,0.0,final,
19100409-PCLOAK-PCLSFS-0,Pacific Coast League,1910-04-09,0,1910-SFE,San Francisco,a,4.0,Oakland,h,2.0,final,
19100409-PCLPOR-PCLVER-0,Pacific Coast League,1910-04-09,0,1910-SFE,Portland,a,8.0,Vernon,h,2.0,final,
19100410-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-10,0,1910-SFE,Los Angeles,a,5.0,Sacramento,h,2.0,completed early,rain
19100410-PCLOAK-PCLSFS-1,Pacific Coast League,1910-04-10,1,1910-SFE,San Francisco,a,2.0,Oakland,h,6.0,final,
19100410-PCLOAK-PCLSFS-2,Pacific Coast League,1910-04-10,2,1910-SFE,San Francisco,a,,Oakland,h,,postponed,rain
19100410-PCLPOR-PCLVER-1,Pacific Coast League,1910-04-10,1,1910-SFE,Portland,a,1.0,Vernon,h,4.0,final,
19100410-PCLPOR-PCLVER-2,Pacific Coast League,1910-04-10,2,1910-SFE,Portland,a,4.0,Vernon,h,4.0,completed early,to allow Portland to catch the train
19100412-PCLLAA-PCLOAK-0,Pacific Coast League,1910-04-12,0,1910-SFE,Los Angeles,a,4.0,Oakland,h,3.0,final,
19100412-PCLPOR-PCLSAC-0,Pacific Coast League,1910-04-12,0,1910-SFE,Portland,a,3.0,Sacramento,h,2.0,final,
19100412-PCLSFS-PCLVER-0,Pacific Coast League,1910-04-12,0,1910-SFE,San Francisco,a,3.0,Vernon,h,6.0,final,
19100413-PCLLAA-PCLOAK-0,Pacific Coast League,1910-04-13,0,1910-SFE,Los Angeles,a,6.0,Oakland,h,3.0,final,
19100413-PCLPOR-PCLSAC-0,Pacific Coast League,1910-04-13,0,1910-SFE,Portland,a,3.0,Sacramento,h,1.0,final,
19100413-PCLSFS-PCLVER-0,Pacific Coast League,1910-04-13,0,1910-SFE,San Francisco,a,1.0,Vernon,h,6.0,final,
19100414-PCLLAA-PCLOAK-0,Pacific Coast League,1910-04-14,0,1910-SFE,Los Angeles,a,0.0,Oakland,h,6.0,final,
19100414-PCLPOR-PCLSAC-0,Pacific Coast League,1910-04-14,0,1910-SFE,Portland,a,5.0,Sacramento,h,1.0,final,
19100414-PCLSFS-PCLVER-0,Pacific Coast League,1910-04-14,0,1910-SFE,San Francisco,a,3.0,Vernon,h,4.0,final,
19100415-PCLLAA-PCLOAK-0,Pacific Coast League,1910-04-15,0,1910-SFE,Los Angeles,a,4.0,Oakland,h,5.0,final,
19100415-PCLPOR-PCLSAC-0,Pacific Coast League,1910-04-15,0,1910-SFE,Portland,a,6.0,Sacramento,h,1.0,final,
19100415-PCLSFS-PCLVER-0,Pacific Coast League,1910-04-15,0,1910-SFE,San Francisco,a,8.0,Vernon,h,5.0,final,
19100416-PCLLAA-PCLOAK-0,Pacific Coast League,1910-04-16,0,1910-SFE,Los Angeles,a,1.0,Oakland,h,0.0,final,
19100416-PCLPOR-PCLSAC-0,Pacific Coast League,1910-04-16,0,1910-SFE,Portland,a,5.0,Sacramento,h,3.0,final,
19100416-PCLSFS-PCLVER-0,Pacific Coast League,1910-04-16,0,1910-SFE,San Francisco,a,5.0,Vernon,h,1.0,final,
19100417-PCLLAA-PCLOAK-1,Pacific Coast League,1910-04-17,1,1910-SFE,Los Angeles,a,3.0,Oakland,h,4.0,final,
19100417-PCLLAA-PCLOAK-2,Pacific Coast League,1910-04-17,2,1910-SFE,Los Angeles,a,4.0,Oakland,h,2.0,final,
