key,league,date,number,source,team1.name,team1.align,team1.score,team2.name,team2.align,team2.score,status_code,status_reason
19150520-COLBRO-COLFAL-0,Colonial League,1915-05-20,0,1915-HC,Brockton,a,5,Fall River,h,2,final,
19150520-COLHAR-COLNHV-0,Colonial League,1915-05-20,0,1915-HC,New Haven,a,2,Hartford,h,3,final,
19150520-COLNBD-COLTAU-0,Colonial League,1915-05-20,0,1915-HC,New Bedford,a,6,Taunton,h,9,final,
19150520-COLPAW-COLSPR-0,Colonial League,1915-05-20,0,1915-HC,Pawtucket,a,6,Springfield,h,8,final,
19150521-COLBRO-COLFAL-0,Colonial League,1915-05-21,0,1915-HC,Fall River,a,3,Brockton,h,4,final,
19150521-COLHAR-COLNHV-0,Colonial League,1915-05-21,0,1915-HC,New Haven,a,,Hartford,h,,postponed,
19150521-COLNBD-COLTAU-0,Colonial League,1915-05-21,0,1915-HC,Taunton,a,,New Bedford,h,,postponed,
19150521-COLPAW-COLSPR-0,Colonial League,1915-05-21,0,1915-HC,Pawtucket,a,,Springfield,h,,postponed,
19150522-COLBRO-COLTAU-0,Colonial League,1915-05-22,0,1915-HC,Taunton,a,2,Brockton,h,1,final,
19150522-COLFAL-COLNBD-0,Colonial League,1915-05-22,0,1915-HC,Fall River,a,1,New Bedford,h,2,final,
19150522-COLHAR-COLSPR-0,Colonial League,1915-05-22,0,1915-HC,Springfield,a,,Hartford,h,,postponed,
19150522-COLNHV-COLPAW-0,Colonial League,1915-05-22,0,1915-HC,Pawtucket,a,3,New Haven,h,0,final,
19150523-COLNHV-COLPAW-0,Colonial League,1915-05-23,0,1915-HC,Pawtucket,a,0,New Haven,h,4,final,
19150524-COLBRO-COLSPR-0,Colonial League,1915-05-24,0,1915-HC,Brockton,a,2,Springfield,h,1,final,
19150524-COLFAL-COLNBD-0,Colonial League,1915-05-24,0,1915-HC,New Bedford,a,2,Fall River,h,3,final,
19150524-COLHAR-COLTAU-0,Colonial League,1915-05-24,0,1915-HC,Taunton,a,,Hartford,h,,postponed,
19150525-COLBRO-COLSPR-0,Colonial League,1915-05-25,0,1915-HC,Brockton,a,5,Springfield,h,3,final,
19150525-COLFAL-COLNHV-0,Colonial League,1915-05-25,0,1915-HC,New Haven,a,3,Fall River,h,4,final,
19150525-COLHAR-COLTAU-0,Colonial League,1915-05-25,0,1915-HC,Taunton,a,4,Hartford,h,14,final,
19150525-COLNBD-COLPAW-0,Colonial League,1915-05-25,0,1915-HC,Pawtucket,a,7,New Bedford,h,4,final,
19150526-COLBRO-COLSPR-0,Colonial League,1915-05-26,0,1915-HC,Brockton,a,,Springfield,h,,postponed,
19150526-COLFAL-COLPAW-0,Colonial League,1915-05-26,0,1915-HC,Pawtucket,a,,Fall River,h,,postponed,
19150526-COLHAR-COLTAU-1,Colonial League,1915-05-26,1,1915-HC,Taunton,a,,Hartford,h,,postponed,
19150526-COLHAR-COLTAU-2,Colonial League,1915-05-26,2,1915-HC,Taunton,a,,Hartford,h,,postponed,
19150526-COLNBD-COLNHV-0,Colonial League,1915-05-26,0,1915-HC,New Haven,a,,New Bedford,h,,postponed,
19150527-COLBRO-COLHAR-0,Colonial League,1915-05-27,0,1915-HC,Brockton,a,1,Hartford,h,2,final,
19150527-COLFAL-COLPAW-0,Colonial League,1915-05-27,0,1915-HC,Pawtucket,a,2,Fall River,h,5,final,
19150527-COLNBD-COLNHV-0,Colonial League,1915-05-27,0,1915-HC,New Haven,a,6,New Bedford,h,2,final,
19150527-COLSPR-COLTAU-0,Colonial League,1915-05-27,0,1915-HC,Taunton,a,4,Springfield,h,1,final,
19150528-COLBRO-COLHAR-0,Colonial League,1915-05-28,0,1915-HC,Brockton,a,1,Hartford,h,2,final,
19150528-COLFAL-COLNHV-0,Colonial League,1915-05-28,0,1915-HC,New Haven,a,4,Fall River,h,5,final,
19150528-COLNBD-COLPAW-0,Colonial League,1915-05-28,0,1915-HC,New Bedford,a,6,Pawtucket,h,5,final,
19150528-COLSPR-COLTAU-0,Colonial League,1915-05-28,0,1915-HC,Taunton,a,9,Springfield,h,10,final,
19150529-COLBRO-COLFAL-0,Colonial League,1915-05-29,0,1915-HC,Brockton,a,3,Fall River,h,4,final,
19150529-COLHAR-COLSPR-0,Colonial League,1915-05-29,0,1915-HC,Hartford,a,9,Springfield,h,5,final,
19150529-COLNBD-COLTAU-0,Colonial League,1915-05-29,0,1915-HC,Taunton,a,5,New Bedford,h,7,final,
19150529-COLNHV-COLPAW-0,Colonial League,1915-05-29,0,1915-HC,New Haven,a,2,Pawtucket,h,3,final,
19150531-COLBRO-COLTAU-1,Colonial League,1915-05-31,1,1915-HC,Brockton,a,4,Taunton,h,1,final,
19150531-COLBRO-COLTAU-2,Colonial League,1915-05-31,2,1915-HC,Taunton,a,1,Brockton,h,3,final,
19150531-COLFAL-COLNBD-1,Colonial League,1915-05-31,1,1915-HC,Fall River,a,1,New Bedford,h,2,final,
19150531-COLFAL-COLNBD-2,Colonial League,1915-05-31,2,1915-HC,New Bedford,a,0,Fall River,h,3,final,
19150531-COLHAR-COLSPR-1,Colonial League,1915-05-31,1,1915-HC,Springfield,a,6,Hartford,h,0,final,
19150531-COLHAR-COLSPR-2,Colonial League,1915-05-31,2,1915-HC,Hartford,a,5,Springfield,h,2,final,
19150531-COLNHV-COLPAW-1,Colonial League,1915-05-31,1,1915-HC,Pawtucket,a,2,New Haven,h,4,final,
19150531-COLNHV-COLPAW-2,Colonial League,1915-05-31,2,1915-HC,Pawtucket,a,6,New Haven,h,3,final,
19150601-COLBRO-COLNBD-0,Colonial League,1915-06-01,0,1915-HC,New Bedford,a,5,Brockton,h,2,final,
19150601-COLFAL-COLPAW-0,Colonial League,1915-06-01,0,1915-HC,Fall River,a,0,Pawtucket,h,1,final,
19150601-COLHAR-COLTAU-0,Colonial League,1915-06-01,0,1915-HC,Hartford,a,4,Taunton,h,0,final,
19150601-COLNHV-COLSPR-0,Colonial League,1915-06-01,0,1915-HC,Springfield,a,3,New Haven,h,12,final,
19150602-COLBRO-COLHAR-0,Colonial League,1915-06-02,0,1915-HC,Hartford,a,6,Brockton,h,7,final,
19150602-COLFAL-COLPAW-0,Colonial League,1915-06-02,0,1915-HC,Fall River,a,,Pawtucket,h,,postponed,
19150602-COLNBD-COLTAU-0,Colonial League,1915-06-02,0,1915-HC,New Bedford,a,,Taunton,h,,postponed,
19150602-COLNHV-COLSPR-0,Colonial League,1915-06-02,0,1915-HC,Springfield,a,,New Haven,h,,postponed,
19150603-COLFAL-COLTAU-0,Colonial League,1915-06-03,0,1915-HC,Fall River,a,0,Taunton,h,4,final,
19150603-COLNBD-COLPAW-0,Colonial League,1915-06-03,0,1915-HC,New Bedford,a,5,Pawtucket,h,3,final,
19150604-COLBRO-COLFAL-0,Colonial League,1915-06-04,0,1915-HC,Fall River,a,4,Brockton,h,1,final,
19150604-COLNBD-COLPAW-0,Colonial League,1915-06-04,0,1915-HC,New Bedford,a,2,Pawtucket,h,1,final,
19150605-COLBRO-COLNBD-0,Colonial League,1915-06-05,0,1915-HC,Brockton,a,1,New Bedford,h,3,final,
19150605-COLFAL-COLTAU-0,Colonial League,1915-06-05,0,1915-HC,Taunton,a,8,Fall River,h,3,final,
19150605-COLHAR-COLPAW-0,Colonial League,1915-06-05,0,1915-HC,Hartford,a,3,Pawtucket,h,1,final,
19150605-COLNHV-COLSPR-1,Colonial League,1915-06-05,1,1915-HC,New Haven,a,5,Springfield,h,0,final,
19150605-COLNHV-COLSPR-2,Colonial League,1915-06-05,2,1915-HC,New Haven,a,4,Springfield,h,3,final,
19150607-COLBRO-COLSPR-0,Colonial League,1915-06-07,0,1915-HC,Springfield,a,5,Brockton,h,4,final,
19150607-COLFAL-COLNBD-0,Colonial League,1915-06-07,0,1915-HC,New Bedford,a,6,Fall River,h,3,final,
19150607-COLHAR-COLNHV-0,Colonial League,1915-06-07,0,1915-HC,Hartford,a,1,New Haven,h,2,final,
19150607-COLPAW-COLTAU-0,Colonial League,1915-06-07,0,1915-HC,Pawtucket,a,6,Taunton,h,5,final,
19150608-COLBRO-COLSPR-1,Colonial League,1915-06-08,1,1915-HC,Springfield,a,0,Brockton,h,1,final,
19150608-COLBRO-COLSPR-2,Colonial League,1915-06-08,2,1915-HC,Springfield,a,1,Brockton,h,2,final,
19150608-COLFAL-COLNHV-0,Colonial League,1915-06-08,0,1915-HC,Fall River,a,2,New Haven,h,1,final,
19150608-COLHAR-COLNBD-0,Colonial League,1915-06-08,0,1915-HC,New Bedford,a,1,Hartford,h,3,final,
19150608-COLPAW-COLTAU-0,Colonial League,1915-06-08,0,1915-HC,Pawtucket,a,,Taunton,h,,postponed,
19150609-COLFAL-COLNHV-0,Colonial League,1915-06-09,0,1915-HC,Fall River,a,4,New Haven,h,0,final,
19150609-COLHAR-COLNBD-0,Colonial League,1915-06-09,0,1915-HC,New Bedford,a,4,Hartford,h,6,final,
19150609-COLPAW-COLTAU-0,Colonial League,1915-06-09,0,1915-HC,Pawtucket,a,2,Taunton,h,7,final,
19150610-COLBRO-COLPAW-0,Colonial League,1915-06-10,0,1915-HC,Pawtucket,a,3,Brockton,h,0,final,
19150610-COLFAL-COLNHV-0,Colonial League,1915-06-10,0,1915-HC,Fall River,a,1,New Haven,h,2,final,
19150610-COLHAR-COLNBD-0,Colonial League,1915-06-10,0,1915-HC,New Bedford,a,5,Hartford,h,0,final,
19150610-COLSPR-COLTAU-0,Colonial League,1915-06-10,0,1915-HC,Springfield,a,9,Taunton,h,7,final,
19150611-COLBRO-COLPAW-0,Colonial League,1915-06-11,0,1915-HC,Pawtucket,a,3,Brockton,h,4,final,
19150611-COLFAL-COLHAR-0,Colonial League,1915-06-11,0,1915-HC,Fall River,a,4,Hartford,h,2,final,
19150611-COLNBD-COLNHV-0,Colonial League,1915-06-11,0,1915-HC,New Bedford,a,1,New Haven,h,2,final,
19150611-COLSPR-COLTAU-0,Colonial League,1915-06-11,0,1915-HC,Springfield,a,6,Taunton,h,2,final,
19150612-COLBRO-COLTAU-0,Colonial League,1915-06-12,0,1915-HC,Taunton,a,2,Brockton,h,3,final,
19150612-COLFAL-COLHAR-1,Colonial League,1915-06-12,1,1915-HC,Fall River,a,4,Hartford,h,5,final,
19150612-COLFAL-COLHAR-2,Colonial League,1915-06-12,2,1915-HC,Fall River,a,3,Hartford,h,8,final,
19150612-COLNBD-COLNHV-0,Colonial League,1915-06-12,0,1915-HC,New Bedford,a,3,New Haven,h,0,final,
19150612-COLPAW-COLSPR-0,Colonial League,1915-06-12,0,1915-HC,Springfield,a,5,Pawtucket,h,9,final,
19150614-COLFAL-COLSPR-0,Colonial League,1915-06-14,0,1915-HC,Springfield,a,5,Fall River,h,1,final,
19150614-COLHAR-COLNHV-0,Colonial League,1915-06-14,0,1915-HC,Hartford,a,5,New Haven,h,3,final,
19150615-COLBRO-COLPAW-0,Colonial League,1915-06-15,0,1915-HC,Brockton,a,,Pawtucket,h,,postponed,
19150615-COLFAL-COLHAR-0,Colonial League,1915-06-15,0,1915-HC,Hartford,a,,Fall River,h,,postponed,
19150615-COLNBD-COLSPR-0,Colonial League,1915-06-15,0,1915-HC,Springfield,a,,New Bedford,h,,postponed,
19150615-COLNHV-COLTAU-0,Colonial League,1915-06-15,0,1915-HC,Taunton,a,,New Haven,h,,postponed,
19150616-COLBRO-COLPAW-0,Colonial League,1915-06-16,0,1915-HC,Brockton,a,4,Pawtucket,h,2,final,
19150616-COLFAL-COLHAR-0,Colonial League,1915-06-16,0,1915-HC,Hartford,a,3,Fall River,h,5,final,
19150616-COLNBD-COLSPR-0,Colonial League,1915-06-16,0,1915-HC,Springfield,a,1,New Bedford,h,5,final,
19150616-COLNHV-COLTAU-1,Colonial League,1915-06-16,1,1915-HC,Taunton,a,2,New Haven,h,1,final,
19150616-COLNHV-COLTAU-2,Colonial League,1915-06-16,2,1915-HC,Taunton,a,4,New Haven,h,5,final,
19150617-COLBRO-COLPAW-0,Colonial League,1915-06-17,0,1915-HC,Brockton,a,1,Pawtucket,h,2,final,
19150617-COLFAL-COLHAR-0,Colonial League,1915-06-17,0,1915-HC,Hartford,a,4,Fall River,h,7,final,
19150617-COLNBD-COLSPR-0,Colonial League,1915-06-17,0,1915-HC,Springfield,a,5,New Bedford,h,2,final,
19150617-COLNHV-COLTAU-0,Colonial League,1915-06-17,0,1915-HC,Taunton,a,5,New Haven,h,8,final,
19150618-COLBRO-COLNHV-0,Colonial League,1915-06-18,0,1915-HC,Brockton,a,2,New Haven,h,5,final,
19150618-COLFAL-COLSPR-0,Colonial League,1915-06-18,0,1915-HC,Springfield,a,0,Fall River,h,3,final,
19150618-COLHAR-COLNBD-0,Colonial League,1915-06-18,0,1915-HC,Hartford,a,4,New Bedford,h,6,final,
19150618-COLPAW-COLTAU-0,Colonial League,1915-06-18,0,1915-HC,Taunton,a,5,Pawtucket,h,4,final,
19150619-COLBRO-COLNHV-0,Colonial League,1915-06-19,0,1915-HC,Brockton,a,2,New Haven,h,1,final,
19150619-COLFAL-COLSPR-0,Colonial League,1915-06-19,0,1915-HC,Fall River,a,0,Springfield,h,7,final,
19150619-COLHAR-COLNBD-0,Colonial League,1915-06-19,0,1915-HC,Hartford,a,4,New Bedford,h,11,final,
19150619-COLPAW-COLTAU-1,Colonial League,1915-06-19,1,1915-HC,Taunton,a,5,Pawtucket,h,6,final,
19150619-COLPAW-COLTAU-2,Colonial League,1915-06-19,2,1915-HC,Taunton,a,13,Pawtucket,h,1,final,
19150621-COLBRO-COLNHV-0,Colonial League,1915-06-21,0,1915-HC,Brockton,a,6,New Haven,h,5,final,
19150621-COLFAL-COLHAR-0,Colonial League,1915-06-21,0,1915-HC,Fall River,a,15,Hartford,h,5,final,
19150621-COLNBD-COLSPR-0,Colonial League,1915-06-21,0,1915-HC,New Bedford,a,2,Springfield,h,6,final,
19150621-COLPAW-COLTAU-0,Colonial League,1915-06-21,0,1915-HC,Pawtucket,a,9,Taunton,h,2,final,
19150622-COLBRO-COLPAW-0,Colonial League,1915-06-22,0,1915-HC,Pawtucket,a,3,Brockton,h,5,final,
19150622-COLFAL-COLHAR-0,Colonial League,1915-06-22,0,1915-HC,Fall River,a,3,Hartford,h,4,final,
19150622-COLNBD-COLSPR-0,Colonial League,1915-06-22,0,1915-HC,New Bedford,a,3,Springfield,h,2,final,
19150622-COLNHV-COLTAU-0,Colonial League,1915-06-22,0,1915-HC,New Haven,a,8,Taunton,h,9,final,
19150623-COLBRO-COLNHV-0,Colonial League,1915-06-23,0,1915-HC,New Haven,a,1,Brockton,h,8,final,
19150623-COLFAL-COLHAR-1,Colonial League,1915-06-23,1,1915-HC,Fall River,a,2,Hartford,h,7,final,
19150623-COLFAL-COLHAR-2,Colonial League,1915-06-23,2,1915-HC,Fall River,a,6,Hartford,h,14,final,
19150623-COLNBD-COLSPR-0,Colonial League,1915-06-23,0,1915-HC,New Bedford,a,5,Springfield,h,2,final,
19150623-COLPAW-COLTAU-0,Colonial League,1915-06-23,0,1915-HC,Pawtucket,a,6,Taunton,h,9,final,
19150624-COLBRO-COLNHV-0,Colonial League,1915-06-24,0,1915-HC,New Haven,a,3,Brockton,h,2,final,
19150624-COLFAL-COLSPR-0,Colonial League,1915-06-24,0,1915-HC,Fall River,a,3,Springfield,h,1,final,
19150624-COLHAR-COLNBD-0,Colonial League,1915-06-24,0,1915-HC,New Bedford,a,3,Hartford,h,5,final,
19150624-COLPAW-COLTAU-0,Colonial League,1915-06-24,0,1915-HC,Pawtucket,a,6,Taunton,h,1,final,
19150625-COLBRO-COLNHV-0,Colonial League,1915-06-25,0,1915-HC,New Haven,a,11,Brockton,h,2,final,
19150625-COLFAL-COLSPR-0,Colonial League,1915-06-25,0,1915-HC,Fall River,a,4,Springfield,h,9,final,
19150625-COLHAR-COLNBD-0,Colonial League,1915-06-25,0,1915-HC,New Bedford,a,12,Hartford,h,5,final,
19150625-COLPAW-COLTAU-0,Colonial League,1915-06-25,0,1915-HC,Taunton,a,2,Pawtucket,h,8,final,
19150626-COLBRO-COLPAW-0,Colonial League,1915-06-26,0,1915-HC,Pawtucket,a,,Brockton,h,,postponed,
19150626-COLFAL-COLSPR-1,Colonial League,1915-06-26,1,1915-HC,Fall River,a,1,Springfield,h,8,final,
19150626-COLFAL-COLSPR-2,Colonial League,1915-06-26,2,1915-HC,Fall River,a,1,Springfield,h,4,final,
19150626-COLHAR-COLNBD-0,Colonial League,1915-06-26,0,1915-HC,New Bedford,a,5,Hartford,h,6,final,
19150626-COLNHV-COLTAU-1,Colonial League,1915-06-26,1,1915-HC,Taunton,a,1,New Haven,h,2,final,
19150626-COLNHV-COLTAU-2,Colonial League,1915-06-26,2,1915-HC,Taunton,a,1,New Haven,h,2,final,
19150628-COLBRO-COLNBD-0,Colonial League,1915-06-28,0,1915-HC,New Bedford,a,5,Brockton,h,1,final,
19150628-COLFAL-COLPAW-0,Colonial League,1915-06-28,0,1915-HC,Pawtucket,a,3,Fall River,h,0,final,
