key,league,date,number,source,team1.name,team1.align,team1.score,team2.name,team2.align,team2.score,status_code,status_reason
19150427-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-27,0,1915-AJ,Phoenix,a,2.0,Tucson,h,10.0,final,
19150427-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-27,0,1915-AR,Phoenix,a,2.0,Tucson,h,10.0,final,
19150427-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-27,0,1915-EPH,Phoenix,a,2,Tucson,h,10,final,
19150428-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-28,0,1915-AJ,Phoenix,a,,Tucson,h,,postponed,
19150428-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-28,0,1915-AR,Phoenix,a,,Tucson,h,,postponed,
19150428-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-28,0,1915-EPH,Phoenix,a,,Tucson,h,,postponed,
19150429-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-29,0,1915-AJ,Phoenix,a,6.0,Tucson,h,1.0,final,
19150429-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-29,0,1915-AR,Phoenix,a,6.0,Tucson,h,1.0,final,
19150429-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-29,0,1915-EPH,Phoenix,a,6,Tucson,h,1,final,
19150430-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-30,0,1915-AJ,Phoenix,a,7.0,Tucson,h,3.0,final,
19150430-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-30,0,1915-AR,Phoenix,a,7.0,Tucson,h,3.0,final,
19150430-RIOPHX-RIOTUC-0,Rio Grande Association,1915-04-30,0,1915-EPH,Phoenix,a,7,Tucson,h,3,final,
19150501-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-01,0,1915-AJ,Las Cruces,a,8.0,El Paso,h,5.0,final,
19150501-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-01,0,1915-AR,Las Cruces,a,8.0,El Paso,h,5.0,final,
19150501-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-01,0,1915-EPH,Las Cruces,a,8,El Paso,h,5,final,
19150501-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-01,0,1915-AJ,Phoenix,a,,Tucson,h,,final,
19150501-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-01,0,1915-AR,Phoenix,a,0.0,Tucson,h,3.0,final,
19150501-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-01,0,1915-EPH,Phoenix,a,0,Tucson,h,3,final,
19150502-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-02,0,1915-AJ,Las Cruces,a,19.0,El Paso,h,20.0,final,
19150502-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-02,0,1915-AR,Las Cruces,a,19.0,El Paso,h,20.0,final,
19150502-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-02,0,1915-EPH,Las Cruces,a,19,El Paso,h,20,final,
19150502-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-02,0,1915-AJ,Phoenix,a,5.0,Tucson,h,3.0,final,
19150502-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-02,0,1915-AR,Phoenix,a,5.0,Tucson,h,3.0,final,
19150502-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-02,0,1915-EPH,Phoenix,a,5,Tucson,h,3,final,
19150504-RIOALB-RIODOU-0,Rio Grande Association,1915-05-04,0,1915-AJ,Douglas,a,6.0,Albuquerque,h,9.0,final,
19150504-RIOALB-RIODOU-0,Rio Grande Association,1915-05-04,0,1915-AR,Douglas,a,6.0,Albuquerque,h,9.0,final,
19150504-RIOALB-RIODOU-0,Rio Grande Association,1915-05-04,0,1915-EPH,Douglas,a,6,Albuquerque,h,9,final,
19150504-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-04,0,1915-AJ,Las Cruces,a,12.0,El Paso,h,7.0,final,
19150504-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-04,0,1915-AR,Las Cruces,a,12.0,El Paso,h,7.0,final,
