game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Daly,,Gulfport,2b,1,6,0,,0,,,,,,,,,,,,,,,,,,,,,,,3,3,1,2,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Murch,,Gulfport,3b,2,4,3,,1,,,1,,,,,,,1,,,,,,,,,,,,,3,3,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Reilly,,Gulfport,ss,3,5,3,,5,1,,,,,,,,,1,,,,,,,,,,,,,2,2,0,1,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Holland,,Gulfport,cf,4,4,2,,3,,,,,,,1,,,,,,,,,,,,,,,,4,1,0,1,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Gettinger,,Gulfport,lf,5,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Gilks,,Gulfport,1b,6,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,10,0,0,1,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Gunn,,Gulfport,rf,7,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Graffius,,Gulfport,c,8,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,4,1,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Schultz,,Gulfport,p,9,5,1,,1,1,,,,,,,,,,,,,,,,,1,4,,,,0,2,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,TOTALS,,Gulfport,,,38,11,,13,,,,,,,,,,,,,,,,,,,,,,,27,12,1,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Taylor,,Jackson,lf,1,3,0,,1,,,,,,,,,,1,,,,,,,,,,,,,2,0,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Welsh,,Jackson,p,10,2,1,,1,,,,,,,,,,,,,,,,,,5,6,,,,0,0,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Claire,,Jackson,ss,2,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,2,5,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Montgomery,,Jackson,cf,3,4,0,,2,,1,,,,,,,,1,,,,,,,,,,,,,1,0,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Pickens,,Jackson,2b,4,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Blackburn,,Jackson,3b,5,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,
1903bb18-755c-5753-985d-a0e63e64e896,1908,Cotton States League,1908-04-02,0,regular,Saillard,,Jackson,1b,6,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,11,0,0,,,,
