game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first
QZYZQYP,1908,Arkansas State League,1908-04-20,0,regular,Kinman,
SZKFHQT,1908,Arkansas State League,1908-04-20,0,regular,Gampher,
JKTVTMD,1908,Arkansas State League,1908-04-20,0,regular,Cratty,
DBWFTLX,1908,Arkansas State League,1908-04-21,0,regular,Crotty,
LXVRJVV,1908,Arkansas State League,1908-04-22,0,regular,Crotty,
JNMXZSJ,1908,Arkansas State League,1908-04-22,0,regular,Gamphor,
CNFCGGL,1908,Arkansas State League,1908-04-23,0,regular,Moore,
HZRXXST,1908,Arkansas State League,1908-04-23,0,regular,Gamphor,
ZNWZHHX,1908,Arkansas State League,1908-04-24,0,regular,Gamphor,
CMKCKPS,1908,Arkansas State League,1908-04-24,0,regular,Potts,
KXQDGJL,1908,Arkansas State League,1908-04-25,0,regular,Moore,
XGJTFNB,1908,Arkansas State League,1908-04-25,0,regular,Crotty,
JVWVKSM,1908,Arkansas State League,1908-04-27,0,regular,Welch,
JVWVKSM,1908,Arkansas State League,1908-04-27,0,regular,Ray,
SNZMSWY,1908,Arkansas State League,1908-04-28,0,regular,Crotty,
BCPKKVX,1908,Arkansas State League,1908-04-28,0,regular,Gamphor,
JDHMQMK,1908,Arkansas State League,1908-04-28,0,regular,Moore,
VBCSYHM,1908,Arkansas State League,1908-04-30,0,regular,Crotty,
QCPDBTL,1908,Arkansas State League,1908-04-30,0,regular,Crowley,
ZHXPQVX,1908,Arkansas State League,1908-05-01,0,regular,Crotty,
HHKJDXJ,1908,Arkansas State League,1908-05-01,0,regular,Gampher,
QNHCDBW,1908,Arkansas State League,1908-05-02,0,regular,Gampfer,
ZKCGZWB,1908,Arkansas State League,1908-05-04,0,regular,Crotty,
GWSYNNB,1908,Arkansas State League,1908-05-04,0,regular,Crowley,
TPPTLHY,1908,Arkansas State League,1908-05-06,0,regular,Crotty,
TRKCYGL,1908,Arkansas State League,1908-05-07,0,regular,Crowley,
GMJLQDX,1908,Arkansas State League,1908-05-08,0,regular,Crowley,
RVYXJZB,1908,Arkansas State League,1908-05-08,0,regular,Deaver,
WHXYLJF,1908,Arkansas State League,1908-05-12,0,regular,Gampher,
