game.key,league.year,league.name,game.date,game.number,game.phase,name.full
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,Osborn
DHBQCDP,1909,Arkansas State League,1909-04-15,0,regular,McDonald
DGJBBWH,1909,Arkansas State League,1909-04-16,0,regular,Osborn
KHKFXPK,1909,Arkansas State League,1909-04-16,0,regular,Spencer
TGTCVWF,1909,Arkansas State League,1909-04-16,0,regular,Smith
WPZTWNT,1909,Arkansas State League,1909-04-16,0,regular,McDonald
TMRKSFX,1909,Arkansas State League,1909-04-17,0,regular,Osborne
JFNKXTG,1909,Arkansas State League,1909-04-17,0,regular,McDonald
THWMJKP,1909,Arkansas State League,1909-04-17,0,regular,Spencer
RKDVWFP,1909,Arkansas State League,1909-04-17,0,regular,Smith
TVXNZLL,1909,Arkansas State League,1909-04-18,0,regular,Spencer
GRCVKBR,1909,Arkansas State League,1909-04-18,0,regular,McDonald
BRVBJDF,1909,Arkansas State League,1909-04-18,0,regular,Smith
SXXVRQG,1909,Arkansas State League,1909-04-19,0,regular,Osborn
ZNWPGTX,1909,Arkansas State League,1909-04-19,0,regular,McDonald
HLKWCMZ,1909,Arkansas State League,1909-04-19,0,regular,Spencer
KJNBNCP,1909,Arkansas State League,1909-04-20,0,regular,Osborn
LXFKKHJ,1909,Arkansas State League,1909-04-20,0,regular,Ray
LXFKKHJ,1909,Arkansas State League,1909-04-20,0,regular,Robinson
PZZWNYF,1909,Arkansas State League,1909-04-20,0,regular,Smith
TVYDJNZ,1909,Arkansas State League,1909-04-21,0,regular,Dawkins
FRYBMYS,1909,Arkansas State League,1909-04-21,0,regular,Osborne
MYGNBMS,1909,Arkansas State League,1909-04-21,0,regular,Smith
ZHJXBHX,1909,Arkansas State League,1909-04-22,0,regular,Smith
SQCXNZH,1909,Arkansas State League,1909-04-22,0,regular,McDonald
WLQRMXS,1909,Arkansas State League,1909-04-23,0,regular,Smith
KMHHJPY,1909,Arkansas State League,1909-04-23,0,regular,Crotty
THRNTFW,1909,Arkansas State League,1909-04-23,0,regular,Osborne
BDFSMWJ,1909,Arkansas State League,1909-04-23,0,regular,McDonald
KLRZNTR,1909,Arkansas State League,1909-04-24,0,regular,Smith
SSJRGKP,1909,Arkansas State League,1909-04-24,0,regular,McDonald
WBGMXZP,1909,Arkansas State League,1909-04-24,0,regular,Crotty
WWFVYJL,1909,Arkansas State League,1909-04-24,0,regular,Osborne
WBNLJFT,1909,Arkansas State League,1909-04-25,0,regular,Crotty
MBGFCQM,1909,Arkansas State League,1909-04-25,0,regular,Osborne
QWJCHFK,1909,Arkansas State League,1909-04-26,0,regular,Crottie
ZWZFYJD,1909,Arkansas State League,1909-04-26,0,regular,Smith
BXGYZKY,1909,Arkansas State League,1909-04-26,0,regular,McDonald
SHGQNLN,1909,Arkansas State League,1909-04-27,0,regular,Crottie
ZLBHRQV,1909,Arkansas State League,1909-04-27,0,regular,Smith
LZDRZQN,1909,Arkansas State League,1909-04-27,0,regular,McDonald
SQDSVQW,1909,Arkansas State League,1909-04-27,0,regular,Osborne
FVVQHXY,1909,Arkansas State League,1909-04-28,0,regular,Crotty
NSGPKMD,1909,Arkansas State League,1909-04-28,0,regular,Osborne
VXJVYMP,1909,Arkansas State League,1909-04-27,0,regular,Smith
JZGPGKB,1909,Arkansas State League,1909-04-28,0,regular,McDonald
ZPXKXNC,1909,Arkansas State League,1909-04-29,0,regular,Crotty
BVCDFWR,1909,Arkansas State League,1909-04-29,0,regular,Smith
LQVZKHJ,1909,Arkansas State League,1909-04-29,0,regular,McDonald
RDVJKBJ,1909,Arkansas State League,1909-04-30,0,regular,Smith
KYBNHVS,1909,Arkansas State League,1909-04-30,0,regular,Osborne
NGBNMCW,1909,Arkansas State League,1909-05-01,0,regular,Crotty
HGJNYJK,1909,Arkansas State League,1909-05-01,0,regular,Osborne
NJGQTFT,1909,Arkansas State League,1909-05-01,0,regular,McDonald
SJPXXZK,1909,Arkansas State League,1909-05-01,0,regular,Smith
HYXZHCV,1909,Arkansas State League,1909-05-02,0,regular,Osborn
QNKDWTP,1909,Arkansas State League,1909-05-03,0,regular,Smith
GRKFQYL,1909,Arkansas State League,1909-05-03,0,regular,Crotty
GYKRJDF,1909,Arkansas State League,1909-05-04,0,regular,Smith
JSXVJBN,1909,Arkansas State League,1909-05-04,0,regular,Osborn
FFWXVGP,1909,Arkansas State League,1909-05-04,0,regular,McDonald
RBGYLFZ,1909,Arkansas State League,1909-05-05,0,regular,Smith
LKZSKZP,1909,Arkansas State League,1909-05-05,0,regular,McDonald
TFDGWVX,1909,Arkansas State League,1909-05-05,0,regular,Osborne
NPRBLBT,1909,Arkansas State League,1909-05-05,0,regular,Crotty
MPZCHDH,1909,Arkansas State League,1909-05-06,0,regular,Smith
KVGGCMH,1909,Arkansas State League,1909-05-06,0,regular,Osborn
VWSJWMH,1909,Arkansas State League,1909-05-06,0,regular,McDonald
TXHTVYB,1909,Arkansas State League,1909-05-07,0,regular,Crotty
NJZYZMN,1909,Arkansas State League,1909-05-07,0,regular,Osborn
TYVGBNB,1909,Arkansas State League,1909-05-07,0,regular,Smith
RRQQBDD,1909,Arkansas State League,1909-05-07,0,regular,McDonald
GWDXZBN,1909,Arkansas State League,1909-05-08,0,regular,Crotty
MZHMMCH,1909,Arkansas State League,1909-05-08,0,regular,Osborn
NQHJYNP,1909,Arkansas State League,1909-05-08,0,regular,McDonald
SGNZRRP,1909,Arkansas State League,1909-05-08,0,regular,Smith
HWXSQML,1909,Arkansas State League,1909-05-09,0,regular,Crotty
KWRRRHP,1909,Arkansas State League,1909-05-09,0,regular,McDonald
ZSNZFYP,1909,Arkansas State League,1909-05-09,0,regular,Osborne
PWZWYWH,1909,Southern Association,1909-04-15,0,regular,Rudderham
XHCRXRK,1909,Southern Association,1909-04-15,0,regular,O'Brien
XHCRXRK,1909,Southern Association,1909-04-15,0,regular,Pfenninger
KZZQQCS,1909,Southern Association,1909-04-15,0,regular,Carpenter
QWVPHKR,1909,Southern Association,1909-04-15,0,regular,Fitzsimmons
QWVPHKR,1909,Southern Association,1909-04-15,0,regular,Moran
RSWTVRN,1909,Southern Association,1909-04-16,0,regular,Rudderham
RHBJSDS,1909,Southern Association,1909-04-16,0,regular,O'Brien
RHBJSDS,1909,Southern Association,1909-04-16,0,regular,Pfenninger
SNMSPZB,1909,Southern Association,1909-04-16,0,regular,Carpenter
FCVPGPX,1909,Southern Association,1909-04-16,0,regular,Moran
FCVPGPX,1909,Southern Association,1909-04-16,0,regular,Fitzsimmons
XJBPQWG,1909,Southern Association,1909-04-17,0,regular,Rudderham
SLQJGPV,1909,Southern Association,1909-04-17,0,regular,Fitzsimmons
SLQJGPV,1909,Southern Association,1909-04-17,0,regular,Moran
CWCTPHG,1909,Southern Association,1909-04-17,0,regular,O'Brien
CWCTPHG,1909,Southern Association,1909-04-17,0,regular,Pfenninger
ZPPHBSX,1909,Southern Association,1909-04-17,0,regular,Carpenter
TGNTGBZ,1909,Southern Association,1909-04-18,0,regular,Rudderham
KRTFVVB,1909,Southern Association,1909-04-18,0,regular,Carpenter
WZDLDGV,1909,Southern Association,1909-04-19,0,regular,Carpenter
FYHDNND,1909,Southern Association,1909-04-19,0,regular,O'Brien
FYHDNND,1909,Southern Association,1909-04-19,0,regular,Pfenninger
BWFCKGD,1909,Southern Association,1909-04-19,0,regular,Moran
BWFCKGD,1909,Southern Association,1909-04-19,0,regular,Fitzsimmons
GFFZFQS,1909,Southern Association,1909-04-19,0,regular,Rudderham
YWNYLFX,1909,Southern Association,1909-04-20,0,regular,Rudderham
ZTMXKKG,1909,Southern Association,1909-04-20,0,regular,Carpenter
FRNLXNX,1909,Southern Association,1909-04-20,0,regular,Moran
FRNLXNX,1909,Southern Association,1909-04-20,0,regular,Fitzsimmons
JCFSLZM,1909,Southern Association,1909-04-21,0,regular,Carpenter
NSWYRMM,1909,Southern Association,1909-04-21,0,regular,Fitzsimmons
NSWYRMM,1909,Southern Association,1909-04-21,0,regular,Moran
DYGRFBS,1909,Southern Association,1909-04-21,1,regular,O'Brien
DYGRFBS,1909,Southern Association,1909-04-21,1,regular,Pfenninger
FKJHJGD,1909,Southern Association,1909-04-21,2,regular,O'Brien
FKJHJGD,1909,Southern Association,1909-04-21,2,regular,Pfenninger
SHTGXMB,1909,Southern Association,1909-04-21,0,regular,Rudderham
JWMLYNZ,1909,Southern Association,1909-04-22,0,regular,Carpenter
NLKXCMK,1909,Southern Association,1909-04-22,0,regular,O'Brien
NLKXCMK,1909,Southern Association,1909-04-22,0,regular,Pfenninger
CNSJHVS,1909,Southern Association,1909-04-22,0,regular,Rudderham
HCCYBLS,1909,Southern Association,1909-04-22,0,regular,Fitzsimmons
HCCYBLS,1909,Southern Association,1909-04-22,0,regular,Moran
FTKWVXD,1909,Southern Association,1909-04-23,0,regular,Rudderham
SFNQWRP,1909,Southern Association,1909-04-23,0,regular,Pfenninger
SFNQWRP,1909,Southern Association,1909-04-23,0,regular,Fitzsimmons
CGVZSRZ,1909,Southern Association,1909-04-23,0,regular,Moran
