key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
56fda203-675b-53d1-a530-24dc235649e9,1909-04-15,0,Arkansas State,regular,,Helena,2,,Argenta,3,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Mempis) Commercial Appeal, April 16, 1909",0,0,2,0,0,0,0,0,0,,,,,0,0,0,0,2,0,0,1,x,,,,
8566af46-12c3-5044-8365-4bb0899f9d17,1909-04-15,0,Southern Association,regular,,Birmingham,4,,Atlanta,3,,,1:57,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 16, 1909",1,2,0,0,0,0,1,0,0,,,,,2,0,0,0,1,0,0,0,0,,,,
d0436628-3915-5187-af48-a2d9d07bbc4d,1909-04-15,0,Southern Association,regular,,Little Rock,1,,Memphis,0,,,1:30,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 16, 1909",0,0,0,1,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,
ab29a4b3-4b43-5959-a9f3-986085460609,1909-04-15,0,Southern Association,regular,,Montgomery,3,,Nashville,4,,,1:50,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 16, 1909",0,0,0,1,2,0,0,0,0,,,,,0,0,0,0,0,1,3,0,x,,,,
cf8f54e4-06ec-59b4-8ecf-6f7b0859105c,1909-04-15,0,Southern Association,regular,,Mobile,2,,New Orleans,8,,,2:05,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 16, 1909",0,0,0,0,0,0,2,0,0,,,,,0,0,0,1,7,0,0,0,x,,,,
5968ef7a-c081-5810-9572-313bc941d6b3,1909-04-16,0,Arkansas State,regular,,Monroe,5,,Alexandria,6,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,1,0,0,0,2,0,2,0,,,,0,0,0,0,1,1,0,1,2,1,,,
0845fbff-b279-592c-9683-e807c5f376cf,1909-04-16,0,Arkansas State,regular,,Helena,1,,Argenta,3,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,1,0,0,0,0,0,0,,,,,0,0,0,3,0,0,0,0,x,,,,
ed82cee4-5f84-5883-9c37-13cb009bf893,1909-04-16,0,Arkansas State,regular,,Jonesboro,8,,Hot Springs,7,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",2,2,1,0,0,0,0,1,1,0,0,0,1,0,3,1,0,0,3,0,0,0,0,0,0,0
8d463eb4-eb8d-5d9e-aebe-3815901ffb7c,1909-04-16,0,Arkansas State,regular,,Fort Smith,4,,Texarkana,8,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,0,0,2,0,1,1,0,,,,,0,0,0,5,0,0,1,2,x,,,,
2e984395-749f-5272-80ac-1809e026727b,1909-04-16,0,Southern Association,regular,,Birmingham,1,,Atlanta,6,,,1:32,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,1,0,0,0,0,0,0,0,,,,,2,3,0,0,1,0,0,0,1,,,,
ed8540c9-d3ea-578a-9f41-a410c0242fa7,1909-04-16,0,Southern Association,regular,,Little Rock,3,,Memphis,10,,,1:45,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,1,0,0,0,1,0,1,,,,,0,0,0,1,0,4,4,1,x,,,,
398ad0f2-c494-5239-a0b5-c419c11bc464,1909-04-16,0,Southern Association,regular,,Montgomery,2,,Nashville,5,,,1:55,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",1,0,0,0,0,0,0,1,0,,,,,0,1,1,2,0,0,1,0,x,,,,
90d14d74-c2f7-59d8-b3c0-04ae4de02012,1909-04-16,0,Southern Association,regular,,Mobile,1,,New Orleans,4,,,2:00,,,,,transcript/1909/1909-MCA/boxes/SOUA-19090415.txt,"(Memphis) Commercial Appeal, April 17, 1909",0,0,0,0,0,1,0,0,0,,,,,0,2,1,0,0,0,0,1,x,,,,
8f06c8ca-064e-57b2-b5af-9438f5ad93cf,1909-04-17,0,Arkansas State,regular,,Monroe,12,,Alexandria,13,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,0,3,0,0,4,3,4,2,,,,,4,0,1,1,1,0,0,0,6,,,,
e185aaa3-c51c-53d6-8464-ae9d04959ad8,1909-04-17,0,Arkansas State,regular,,Helena,1,,Argenta,2,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",0,0,0,0,0,0,1,0,0,,,,,0,0,1,0,0,0,1,0,x,,,,
19219ebd-0ef9-53f6-ba7c-68227b1dde1f,1909-04-17,0,Arkansas State,regular,,Jonesboro,3,,Hot Springs,0,,,,,,,,transcript/1909/1909-MCA/boxes/ARSL-19090415.txt,"(Memphis) Commercial Appeal, April 18, 1909",1,0,2,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,,,,
