key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
TXJCZSB,1910-05-11,0,Carolina Association,regular,,Charlotte,1,,Anderson,0,,,1:30,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100505.txt,"Winston-Salem Journal May 12, 1910",0,0,1,0,0,0,,,,,,,,,0,0,0,0,0,0,,,,,,,,
YRRDMGN,1910-05-11,0,Carolina Association,regular,,Spartanburg,3,,Greensboro,4,,500,1:55,,,,1,transcript/1910/1910-WSJ/boxes/WSJ-19100505.txt,Winston-Salem Journal,3,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,2,0,0,0,1,,,,
LBFQPVJ,1910-05-11,0,Carolina Association,regular,,Winston-Salem,1,,Greenville,11,,700,1:50,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100505.txt,"Winston-Salem Journal May 12, 1910",0,0,0,0,0,0,0,1,0,,,,,,0,4,1,0,0,0,3,3,x,,,,,
DJDZYBM,1910-05-12,0,Carolina Association,regular,,Anderson,2,,Greensboro,0,,600,1:27,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 13, 1910",0,0,0,0,0,0,2,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
HNGSHCW,1910-05-12,0,Carolina Association,regular,,Charlotte,2,,Greenville,6,,850,1:40,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 13, 1910",0,0,0,0,0,0,2,0,0,,,,,,0,0,3,0,0,0,3,0,x,,,,,
WGMYMJG,1910-05-12,0,Carolina Association,regular,,Spartanburg,,,Winston-Salem,,,,,,postponed,rain,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 13, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,
VKNGRJR,1910-05-13,0,Carolina Association,regular,,Anderson,6,,Greensboro,4,,400,1:42,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 14, 1910",0,0,0,1,5,0,0,0,0,,,,,,3,0,0,1,0,0,0,0,0,,,,,
HGGNYRT,1910-05-13,0,Carolina Association,regular,,Spartanburg,1,,Winston-Salem,0,,,1:35,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 14, 1910",0,0,1,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
VDQXNYV,1910-05-14,0,Carolina Association,regular,,Anderson,1,,Greensboro,7,,600,1:42,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 15, 1910",1,0,0,0,0,0,0,0,0,,,,,,0,2,0,0,3,0,2,0,x,,,,,
GDTYLGW,1910-05-14,0,Carolina Association,regular,,Charlotte,0,,Greenville,1,,1100,1:40,,,,2,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 15, 1910",0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,1,,,,,
WSTVDJF,1910-05-14,0,Carolina Association,regular,,Spartanburg,3,,Winston-Salem,4,,1300,3:10,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 15, 1910",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
GLHNXRL,1910-05-16,0,Carolina Association,regular,,Anderson,3,,Charlotte,6,,1000,1:30,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 17, 1910",0,2,0,0,0,0,0,0,1,,,,,,2,0,3,1,0,0,0,0,x,,,,,
ZWPWYXB,1910-05-16,0,Carolina Association,regular,,Greensboro,1,,Spartanburg,2,,,1:50,,,,2,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 17, 1910",0,0,1,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,0,0,1,,,,
NBPVXYD,1910-05-16,0,Carolina Association,regular,,Greenville,6,,Winston-Salem,6,,,3:00,,,,,transcript/1910/1910-WSJ/boxes/WSJ-19100512.txt,"Winston-Salem Journal May 17, 1910",1,0,0,1,0,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,5,0,0,0,0,0,
