game.key,game.date,game.number,name.full
VXQVGVR,1911-04-27,0,Stanton
BSKPHDN,1911-04-27,0,McNamara
DZCXPPR,1911-04-27,0,Pieper
CRXGXBQ,1911-04-27,0,Kennedy
CRXGXBQ,1911-04-27,0,Harrison
HWJTHSR,1911-04-28,0,Pieper
SFZQNJR,1911-04-28,0,Stanton
FHNPTWY,1911-04-28,0,Kennedy
FHNPTWY,1911-04-28,0,Harrison
HLWBZNP,1911-04-28,0,McNamara
JSZRLTC,1911-04-29,0,McNamara
DFMYDWF,1911-04-29,0,Stanton
GNTRFGX,1911-04-29,0,Harrison
GNTRFGX,1911-04-29,0,Kennedy
WDKWPBN,1911-04-29,0,Pieper
HZNPCVL,1911-05-01,0,Kennedy
HZNPCVL,1911-05-01,0,Harrison
HHTGGGR,1911-05-02,0,Stanton
YPNDSBX,1911-05-02,0,McNamara
PKMSQSS,1911-05-02,0,Harrison
PKMSQSS,1911-05-02,0,Kennedy
VTPHLQF,1911-05-03,0,McNamara
TFWSZWX,1911-05-03,0,Kennedy
TFWSZWX,1911-05-03,0,Harrison
YQKFXVN,1911-05-03,0,Peiper
BRBHYMW,1911-05-03,0,Stanton
NRQJDTH,1911-05-04,0,Kennedy
NRQJDTH,1911-05-04,0,Harrison
YBSYRFG,1911-05-04,0,McNamara
MQRBRCH,1911-05-04,0,Stanton
DCFQTRN,1911-05-05,0,Tom McNamara
XYPFTHZ,1911-05-05,0,Kennedy
NSLZFQR,1911-05-05,0,Pieper
NSLZFQR,1911-05-05,0,Harrison
WHMPMJS,1911-05-05,0,Stanton
JXJKGLH,1911-05-06,0,Harrison
JXJKGLH,1911-05-06,0,Pipfer
XPLFXHX,1911-05-06,0,McNamara
LYGXLJC,1911-05-06,0,Kennedy
CBSLMDR,1911-05-06,0,Stanton
SNSYXXX,1911-05-07,0,Piper
LKFJDKF,1911-05-07,0,Kennedy
QTRXVYW,1911-05-07,0,Stanton
ZRTLLLD,1911-05-07,0,McNamara
ZRTLLLD,1911-05-07,0,Harrison
HKPQYCG,1911-05-08,0,McNamara
GCJJWTN,1911-05-08,0,Stanton
CHGFWJT,1911-05-08,0,Piper
CHGFWJT,1911-05-08,0,Harrison
JLXQNBX,1911-05-08,0,Kennedy
MRDSJDH,1911-05-09,0,McNamara
WYCZQLV,1911-05-09,0,Piefer
WYCZQLV,1911-05-09,0,Harrison
CXSRXQC,1911-05-09,0,Kennedy
YDFYVPJ,1911-05-09,0,Stanton
HZBXHNB,1911-05-10,0,McNamara
CGZYNKM,1911-05-10,0,Patterson
CGZYNKM,1911-05-10,0,Flood
SQNJNHD,1911-05-10,0,Harrison
SQNJNHD,1911-05-10,0,Peifer
DYBLKSD,1911-05-10,0,Stanton
DYBLKSD,1911-05-10,0,Kennedy
KQMPQMQ,1911-05-11,0,York
ZQWBVPR,1911-05-11,0,Harrison
ZQWBVPR,1911-05-11,0,Piefer
FVKFYYL,1911-05-11,0,Kennedy
VRRKTSX,1911-05-12,0,York
RVHYLWV,1911-05-12,0,Peifer
RVHYLWV,1911-05-12,0,Harrison
RLQQMSS,1911-05-12,0,Kennedy
QGLKQBN,1911-05-12,0,McNamara
DLJVCDB,1911-05-13,0,York
FXMLJZC,1911-05-13,0,McNamara
WTMQHYR,1911-05-13,0,Kennedy
PGTNZZN,1911-05-13,0,Herron
PGTNZZN,1911-05-13,0,Piper
HZZQMWX,1911-05-14,0,Peeters
RCJCTKK,1911-05-14,0,York
RCJCTKK,1911-05-14,0,Harrison
GYQBWCB,1911-05-14,0,McNamara
NKLZSRR,1911-05-14,0,Kennedy
GBGMDPY,1911-05-15,0,Harrison
GBGMDPY,1911-05-15,0,McNamara
TPQQNCK,1911-05-15,0,Piper
MXMTTYM,1911-05-15,0,Kennedy
VHZFWVT,1911-05-15,0,York
PVPFSCM,1911-05-16,0,Harrison
KSNDBJX,1911-05-16,0,Kennedy
FJLLWLS,1911-05-16,0,York
JJNFQCX,1911-05-17,0,Harrison
NKCGNXZ,1911-05-17,0,Kennedy
TZWRSHW,1911-05-17,0,Pieper
RSXHRWQ,1911-05-17,0,York
FKPWXQM,1911-05-18,0,Piper
BGJSPYC,1911-05-18,0,York
VXMTHCP,1911-05-18,0,Kennedy
NXZGGRY,1911-05-18,0,Harrison
