game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,Wilkinson,,Evansville,rf,1,5,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,Snyder,,Evansville,cf,2,4,2,,2,,,,,,,,1,,1,,,,,,,,,,,,,2,1,0,1,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,Byrnes,,Evansville,lf,3,4,2,,2,2,,,,,,,,,,,,,,,,,,,,,,4,1,0,,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,Grefe,,Evansville,1b,4,4,1,,1,,,1,,,,,,,,,,,,,,,,,,,,5,0,0,1,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,Hadley,,Evansville,2b,5,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,Wuffli,,Evansville,ss,6,4,1,,2,1,,,,,,,,,1,,,,,,,,,,,,,2,0,0,,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,Sager,,Evansville,3b,7,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,O'Brien,,Evansville,c,8,4,2,,3,1,1,,,,,,,,,,,,,,,,,,,,,8,0,0,,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,Sterzer,,Evansville,p,9,4,2,,1,,,,,,,,,,,,,,,,,,3,7,1,,,0,2,0,,,,
31bdb6d1-a57d-5854-8a1d-b88b14095c38,1911,Central League,1911-04-26,0,regular,TOTALS,,Evansville,,,37,11,,15,,,,,,,,,,,,,,,,,,,,,,,27,5,2,,,,
