game.key,league.year,league.name,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
3aa469cd-9cc4-52e5-98ad-aa8f181ddc83,1915,Rio Grande Association,1915-04-27,0,Hall,,Phoenix,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3aa469cd-9cc4-52e5-98ad-aa8f181ddc83,1915,Rio Grande Association,1915-04-27,0,Lynn,,Phoenix,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3aa469cd-9cc4-52e5-98ad-aa8f181ddc83,1915,Rio Grande Association,1915-04-27,0,TOTALS,,Phoenix,,,,2,,11,,,,,,,,,,,,,,,,,,,,,,,,3,,,
3aa469cd-9cc4-52e5-98ad-aa8f181ddc83,1915,Rio Grande Association,1915-04-27,0,Fulwelder,,Tucson,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3aa469cd-9cc4-52e5-98ad-aa8f181ddc83,1915,Rio Grande Association,1915-04-27,0,Fuller,,Tucson,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3aa469cd-9cc4-52e5-98ad-aa8f181ddc83,1915,Rio Grande Association,1915-04-27,0,TOTALS,,Tucson,,,,10,,14,,,,,,,,,,,,,,,,,,,,,,,,2,,,
81127600-eebe-518c-920f-2649298213b0,1915,Rio Grande Association,1915-04-29,0,McCreary,,Phoenix,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81127600-eebe-518c-920f-2649298213b0,1915,Rio Grande Association,1915-04-29,0,Lynn,,Phoenix,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81127600-eebe-518c-920f-2649298213b0,1915,Rio Grande Association,1915-04-29,0,TOTALS,,Phoenix,,,,6,,10,,,,,,,,,,,,,,,,,,,,,,,,3,,,
81127600-eebe-518c-920f-2649298213b0,1915,Rio Grande Association,1915-04-29,0,Stevens,,Tucson,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81127600-eebe-518c-920f-2649298213b0,1915,Rio Grande Association,1915-04-29,0,Fulweider,,Tucson,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81127600-eebe-518c-920f-2649298213b0,1915,Rio Grande Association,1915-04-29,0,Kallen,,Tucson,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81127600-eebe-518c-920f-2649298213b0,1915,Rio Grande Association,1915-04-29,0,TOTALS,,Tucson,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,4,,,
136fc633-1da5-5543-b111-700ab3d277a5,1915,Rio Grande Association,1915-04-30,0,Hall,,Phoenix,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136fc633-1da5-5543-b111-700ab3d277a5,1915,Rio Grande Association,1915-04-30,0,Lynn,,Phoenix,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136fc633-1da5-5543-b111-700ab3d277a5,1915,Rio Grande Association,1915-04-30,0,TOTALS,,Phoenix,,,,7,,11,,,,,,,,,,,,,,,,,,,,,,,,2,,,
136fc633-1da5-5543-b111-700ab3d277a5,1915,Rio Grande Association,1915-04-30,0,Andrado,,Tucson,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136fc633-1da5-5543-b111-700ab3d277a5,1915,Rio Grande Association,1915-04-30,0,Callan,,Tucson,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136fc633-1da5-5543-b111-700ab3d277a5,1915,Rio Grande Association,1915-04-30,0,TOTALS,,Tucson,,,,3,,7,,,,,,,,,,,,,,,,,,,,,,,,3,,,
76fcc2d1-4f5c-5490-922c-d298cb4f6b78,1915,Rio Grande Association,1915-05-01,0,Toner,,Phoenix,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76fcc2d1-4f5c-5490-922c-d298cb4f6b78,1915,Rio Grande Association,1915-05-01,0,Lynn,,Phoenix,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76fcc2d1-4f5c-5490-922c-d298cb4f6b78,1915,Rio Grande Association,1915-05-01,0,Nutt,,Phoenix,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76fcc2d1-4f5c-5490-922c-d298cb4f6b78,1915,Rio Grande Association,1915-05-01,0,TOTALS,,Phoenix,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,
76fcc2d1-4f5c-5490-922c-d298cb4f6b78,1915,Rio Grande Association,1915-05-01,0,Horstman,,Tucson,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76fcc2d1-4f5c-5490-922c-d298cb4f6b78,1915,Rio Grande Association,1915-05-01,0,Callan,,Tucson,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76fcc2d1-4f5c-5490-922c-d298cb4f6b78,1915,Rio Grande Association,1915-05-01,0,TOTALS,,Tucson,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,0,,,
abbe4103-f94d-5fbc-8ba1-f56f8d001022,1915,Rio Grande Association,1915-05-01,0,Lewis,,El Paso,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbe4103-f94d-5fbc-8ba1-f56f8d001022,1915,Rio Grande Association,1915-05-01,0,Bliss,J.,El Paso,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbe4103-f94d-5fbc-8ba1-f56f8d001022,1915,Rio Grande Association,1915-05-01,0,TOTALS,,El Paso,,,,5,,12,,,,,,,,,,,,,,,,,,,,,,,,6,,,
abbe4103-f94d-5fbc-8ba1-f56f8d001022,1915,Rio Grande Association,1915-05-01,0,Beer,,Las Cruces,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbe4103-f94d-5fbc-8ba1-f56f8d001022,1915,Rio Grande Association,1915-05-01,0,Bliss,T.,Las Cruces,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbe4103-f94d-5fbc-8ba1-f56f8d001022,1915,Rio Grande Association,1915-05-01,0,TOTALS,,Las Cruces,,,,8,,10,,,,,,,,,,,,,,,,,,,,,,,,1,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915,Rio Grande Association,1915-05-02,0,McCreay,,Phoenix,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915,Rio Grande Association,1915-05-02,0,Hall,,Phoenix,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915,Rio Grande Association,1915-05-02,0,Lynn,,Phoenix,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915,Rio Grande Association,1915-05-02,0,TOTALS,,Phoenix,,,,5,,10,,,,,,,,,,,,,,,,,,,,,,,,1,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915,Rio Grande Association,1915-05-02,0,Galt,,Tucson,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915,Rio Grande Association,1915-05-02,0,Fulweider,,Tucson,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915,Rio Grande Association,1915-05-02,0,Callan,,Tucson,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915,Rio Grande Association,1915-05-02,0,TOTALS,,Tucson,,,,3,,10,,,,,,,,,,,,,,,,,,,,,,,,1,,,
c2306a1c-e150-549a-bc83-7c146553d8d7,1915,Rio Grande Association,1915-05-02,0,McGlynn,,El Paso,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2306a1c-e150-549a-bc83-7c146553d8d7,1915,Rio Grande Association,1915-05-02,0,Knight,,El Paso,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2306a1c-e150-549a-bc83-7c146553d8d7,1915,Rio Grande Association,1915-05-02,0,Bliss,J.,El Paso,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2306a1c-e150-549a-bc83-7c146553d8d7,1915,Rio Grande Association,1915-05-02,0,TOTALS,,El Paso,,,,20,,14,,,,,,,,,,,,,,,,,,,,,,,,6,,,
c2306a1c-e150-549a-bc83-7c146553d8d7,1915,Rio Grande Association,1915-05-02,0,Calio,,Las Cruces,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2306a1c-e150-549a-bc83-7c146553d8d7,1915,Rio Grande Association,1915-05-02,0,Bliss,T.,Las Cruces,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2306a1c-e150-549a-bc83-7c146553d8d7,1915,Rio Grande Association,1915-05-02,0,TOTALS,,Las Cruces,,,,19,,18,,,,,,,,,,,,,,,,,,,,,,,,8,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Murphy,,Albuquerque,cf,1,5,1,,3,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Jarden,,Albuquerque,p,10,1,0,,0,,,,,,,,,,,,,1.1,,,,1,5,,,,0,0,1,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Humphreys,,Albuquerque,ss,2,4,0,,1,,,,,,,,,,,,,,,,,,,,,,1,5,1,2,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Davis,,Albuquerque,rf,3,4,1,,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Carman,,Albuquerque,lf,4,3,1,,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,French,,Albuquerque,2b,5,4,2,,3,1,,,,,,,,,,,,,,,,,,,,,4,4,0,2,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Harriett,,Albuquerque,1b,6,4,0,,1,,,,,,,,,,,,,,,,,,,,,,8,2,0,2,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Trekell,,Albuquerque,3b,7,4,1,,1,,,,,,,,,,,,,,,,,,,,,,0,1,1,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Raedell,,Albuquerque,c,8,3,2,,1,1,,,,,,,,,,,,,,,,,,,,,9,1,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Zamloch,,Albuquerque,p,9,3,1,,2,1,,,,,,,,,,,,7.2,,,7,3,4,,,,2,0,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,TOTALS,,Albuquerque,,,35,9,8,12,,,,,,,,,,,5,2,,,,,,,,,,27,13,3,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Ward,,Douglas,rf,1,5,0,,3,2,,,,,,,,,,,,,,,,,,,,,1,0,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Stewart,,Douglas,cf,2,4,0,,0,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Quigley,,Douglas,2b,3,3,1,,1,1,,,,,,,,,,,,,,,,,,,,,3,2,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Benjamin,,Douglas,1b,4,4,0,,0,,,,,,,,,,,,,,,,,,,,,,10,0,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Gooch,,Douglas,3b,5,4,1,,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Salazar,,Douglas,lf,6,3,1,,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Greenburg,,Douglas,ss,7,3,1,,0,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,Kraft,,Douglas,c,8,4,1,,2,,,,,,,,,,,,,,,,,,,,,,3,3,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,McConnell,,Douglas,p,9,4,1,,1,1,,,,,,,,,,,,,,,,4,3,,,,0,5,0,,,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915,Rio Grande Association,1915-05-04,0,TOTALS,,Douglas,,,34,6,,7,,,,,,,,,,,5,3,,,,,,,,,,24,12,2,,,
9443d9d2-1b9e-5ad5-b1d1-8210cfc3a2ee,1915,Rio Grande Association,1915-05-04,0,Lewis,,El Paso,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443d9d2-1b9e-5ad5-b1d1-8210cfc3a2ee,1915,Rio Grande Association,1915-05-04,0,Bliss,J.,El Paso,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443d9d2-1b9e-5ad5-b1d1-8210cfc3a2ee,1915,Rio Grande Association,1915-05-04,0,TOTALS,,El Paso,,,,7,,12,,,,,,,,,,,,,,,,,,,,,,,,4,,,
9443d9d2-1b9e-5ad5-b1d1-8210cfc3a2ee,1915,Rio Grande Association,1915-05-04,0,Calio,,Las Cruces,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443d9d2-1b9e-5ad5-b1d1-8210cfc3a2ee,1915,Rio Grande Association,1915-05-04,0,Bliss,T.,Las Cruces,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443d9d2-1b9e-5ad5-b1d1-8210cfc3a2ee,1915,Rio Grande Association,1915-05-04,0,TOTALS,,Las Cruces,,,,12,,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,
e7209b57-8d2c-51be-8580-66f60776e96a,1915,Rio Grande Association,1915-05-04,0,Toner,,Phoenix,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7209b57-8d2c-51be-8580-66f60776e96a,1915,Rio Grande Association,1915-05-04,0,Lynn,,Phoenix,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7209b57-8d2c-51be-8580-66f60776e96a,1915,Rio Grande Association,1915-05-04,0,TOTALS,,Phoenix,,,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,1,,,
e7209b57-8d2c-51be-8580-66f60776e96a,1915,Rio Grande Association,1915-05-04,0,Hortsman,,Tucson,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7209b57-8d2c-51be-8580-66f60776e96a,1915,Rio Grande Association,1915-05-04,0,Callan,,Tucson,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7209b57-8d2c-51be-8580-66f60776e96a,1915,Rio Grande Association,1915-05-04,0,TOTALS,,Tucson,,,,0,,5,,,,,,,,,,,,,,,,,,,,,,,,0,,,
20cfb28c-3050-55f3-8f7e-bf18db029613,1915,Rio Grande Association,1915-05-05,0,Murphy,,Albuquerque,cf,1,4,0,,2,,,,,,,,,1,,,,,,,,,,,,,1,0,0,,,
20cfb28c-3050-55f3-8f7e-bf18db029613,1915,Rio Grande Association,1915-05-05,0,Humphries,,Albuquerque,ss,2,5,3,,1,,,,,,,,,,1,,,,,,,,,,,,0,3,0,,,
