league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Buckeye League,P6285751,Allison,,Canton,1915-05-19,1915-05-31,8,0,0,0,0,0,8,0,0,8,0,0
1915,Buckeye League,P2981631,Baird,,Akron,1915-05-24,1915-05-24,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P7838877,Banchard,,Newark,1915-05-25,1915-05-25,1,0,0,0,0,0,0,0,0,0,1,0
1915,Buckeye League,P7044311,Barnhart,,Canton,1915-05-19,1915-05-31,3,3,0,0,0,0,0,0,0,0,0,3
1915,Buckeye League,P5425929,Blanchard,,Newark,1915-05-24,1915-05-28,3,0,0,0,0,0,0,0,0,0,3,0
1915,Buckeye League,P8535400,Bond,,Lima,1915-05-23,1915-05-23,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P2231916,Bonnin,,Marion,1915-05-23,1915-05-25,2,0,0,0,0,0,2,0,0,2,0,0
1915,Buckeye League,P9974952,Breymaier,,Marion,1915-05-27,1915-05-27,1,0,0,0,0,0,0,0,0,0,1,0
1915,Buckeye League,P9113404,Breymeyer,,Marion,1915-05-25,1915-05-25,1,0,0,0,0,0,0,0,0,0,1,0
1915,Buckeye League,P1918295,Breymyer,,Marion,1915-05-23,1915-05-23,1,0,0,0,0,0,0,0,0,0,1,0
1915,Buckeye League,P6436897,Byatt,,Akron,1915-05-19,1915-05-31,5,0,0,0,0,0,5,0,5,0,0,0
1915,Buckeye League,P8502602,Clark,,Akron,1915-05-22,1915-05-31,2,0,0,2,0,0,0,0,0,0,0,0
1915,Buckeye League,P3377874,Clark,,Lima,1915-05-27,1915-05-27,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P6148567,Clarke,,Lima,1915-05-23,1915-05-23,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P6177612,Connor,,Akron,1915-05-28,1915-05-28,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P1412479,Connors,,Akron,1915-05-31,1915-05-31,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P1215406,Cronin,,Lima,1915-05-27,1915-05-28,2,0,0,0,0,2,0,0,0,0,0,0
1915,Buckeye League,P6744863,Curtis,,Canton,1915-05-19,1915-05-31,9,0,0,0,0,0,9,1,8,0,0,0
1915,Buckeye League,P7769955,Day,,Canton,1915-05-19,1915-05-31,9,0,0,0,0,0,9,8,1,0,0,0
1915,Buckeye League,P3808908,Dillon,,Newark,1915-05-23,1915-05-27,2,2,0,0,0,0,0,0,0,0,0,2
1915,Buckeye League,P8876005,Dougherty,,Newark,1915-05-24,1915-05-28,2,2,0,0,0,0,0,0,0,0,0,2
1915,Buckeye League,P5217873,Drake,,Newark,1915-05-25,1915-05-25,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P4816523,Fickel,,Akron,1915-05-31,1915-05-31,2,0,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,P0229972,Fields,,Akron,1915-05-19,1915-05-22,3,0,0,0,0,0,3,0,0,3,0,0
1915,Buckeye League,P4370720,Fields,,Findlay,1915-05-27,1915-05-27,1,0,0,0,0,0,0,0,0,0,1,0
