game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
WGSLNPW,1915,Blue Ridge League,1915-05-27,0,regular,P5365157,Stricker,,Chambersburg,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGSLNPW,1915,Blue Ridge League,1915-05-27,0,regular,P7705294,Stroh,,Chambersburg,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGSLNPW,1915,Blue Ridge League,1915-05-27,0,regular,,TOTALS,,Chambersburg,,,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
WGSLNPW,1915,Blue Ridge League,1915-05-27,0,regular,P9478680,Hevener,,Hagerstown,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGSLNPW,1915,Blue Ridge League,1915-05-27,0,regular,P4319231,Laughlin,,Hagerstown,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGSLNPW,1915,Blue Ridge League,1915-05-27,0,regular,,TOTALS,,Hagerstown,,,,3,,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
YBCGXWD,1915,Blue Ridge League,1915-05-27,0,regular,P8549468,Stair,,Gettysburg,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBCGXWD,1915,Blue Ridge League,1915-05-27,0,regular,P7469839,Jarosick,,Gettysburg,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBCGXWD,1915,Blue Ridge League,1915-05-27,0,regular,,TOTALS,,Gettysburg,,,,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
YBCGXWD,1915,Blue Ridge League,1915-05-27,0,regular,P1740315,Johnson,,Hanover,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBCGXWD,1915,Blue Ridge League,1915-05-27,0,regular,P0473274,Traub,,Hanover,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBCGXWD,1915,Blue Ridge League,1915-05-27,0,regular,P8855629,Steinbach,,Hanover,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBCGXWD,1915,Blue Ridge League,1915-05-27,0,regular,,TOTALS,,Hanover,,,,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P9427537,Morrison,,Frederick,lf,1,3,3,,2,1,,1,,,,1,,,,,,,,,,,,,,,,,1,0,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P1013589,Boyne,,Frederick,1b,2,4,2,,3,,,,,,,,1,,,,,,,,,,,,,,,,12,0,1,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P5332325,Lamar,,Frederick,cf,3,4,1,,3,,,,,,,,1,,,,,,,,,,,,,,,,2,0,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P3343748,Orrison,,Frederick,rf,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P6169716,Malone,,Frederick,2b,5,5,4,,4,2,,1,,,,,,,2,,,,,,,,,,,,,,0,4,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P6978410,Barnhart,,Frederick,3b,6,5,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,1,0,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P1093433,Yingling,,Frederick,ss,7,3,2,,0,,,,,,,1,1,,2,,,,,,,,,,,,,,0,1,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P3632471,Whalen,,Frederick,c,8,4,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P4135680,Stevens,,Frederick,p,9,2,0,,0,,,,,,,,1,,,,,,,,,,7,,7,1,,,1,3,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,,TOTALS,,Frederick,,,,14,10,17,,,,,,,,,,,,7,3,,,,,,,,,,,27,14,1,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P2118130,McCarthy,,Martinsburg,lf,1,3,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P8843165,Kelley,,Martinsburg,p,10,,,,,,,,,,,,,,,,,,5,,,,8,1,3,1,,,,,,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P7999655,Schaufele,,Martinsburg,p,11,,,,,,,,,,,,,,,,,,3,,,,7,,,1,1,,,,,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P7429585,Hayes,,Martinsburg,ss,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P0509701,Dove,,Martinsburg,2b,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P7089174,Johnson,,Martinsburg,1b,4,4,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P0413973,Shipley,,Martinsburg,ss,5,3,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,1,0,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P9851379,Morris,,Martinsburg,rf,6,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P6653530,Hagar,,Martinsburg,ph,7,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P0990638,Davis,,Martinsburg,cf,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,P6090953,Zachary,,Martinsburg,c,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,,TOTALS,,Martinsburg,,,33,3,3,7,,,,,,,,,,,,5,1,,,,,,,,,,,24,14,3,,,,
QDJYGSB,1915,Blue Ridge League,1915-05-28,0,regular,P4980699,Bitters,,Chambersburg,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDJYGSB,1915,Blue Ridge League,1915-05-28,0,regular,P7705294,Stroh,,Chambersburg,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDJYGSB,1915,Blue Ridge League,1915-05-28,0,regular,,TOTALS,,Chambersburg,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
QDJYGSB,1915,Blue Ridge League,1915-05-28,0,regular,P7851523,Pearson,,Hagerstown,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDJYGSB,1915,Blue Ridge League,1915-05-28,0,regular,P4319231,Laughlin,,Hagerstown,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDJYGSB,1915,Blue Ridge League,1915-05-28,0,regular,,TOTALS,,Hagerstown,,,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
SWZJNQM,1915,Blue Ridge League,1915-05-28,0,regular,P6978410,Barnhart,,Frederick,?,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZJNQM,1915,Blue Ridge League,1915-05-28,0,regular,P3632471,Whalen,,Frederick,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
SWZJNQM,1915,Blue Ridge League,1915-05-28,0,regular,P4492248,Norton,,Frederick,p,3,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,
