key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
ZMZZSKR,1915-05-27,0,Blue Ridge,regular,,Hagerstown,3,,Chambersburg,1,,2000,2:05,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 28, 1915",0,1,0,0,1,0,0,1,0,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,
YVKXYKL,1915-05-27,0,Blue Ridge,regular,,Martinsburg,,,Frederick,,,,,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYZZVGQ,1915-05-27,0,Blue Ridge,regular,,Gettysburg,,,Hanover,,,,,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSMNLXS,1915-05-28,0,Blue Ridge,regular,,Hanover,,,Gettysburg,,,,1:50,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLLXQP,1915-05-28,0,Blue Ridge,regular,,Chambersburg,2,,Hagerstown,0,,1800,1:55,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 29, 1915",0,0,2,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
CRFPGRS,1915-05-28,0,Blue Ridge,regular,,Frederick,3,,Martinsburg,5,,1400,1:50,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 29, 1915",0,1,0,1,1,0,0,0,0,,,,,,,0,1,1,0,0,2,1,0,x,,,,,,
WGCKZXS,1915-05-29,0,Blue Ridge,regular,,Chambersburg,,,Hagerstown,,,,,,postponed,rain,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 31, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWJBGXG,1915-05-29,0,Blue Ridge,regular,,Gettysburg,3,,Hanover,4,,,,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 31, 1915",0,0,0,1,0,0,1,0,0,0,,,,,,0,2,0,0,0,1,0,0,0,1,,,,,
XFZZJMM,1915-05-29,0,Blue Ridge,regular,,Frederick,4,,Martinsburg,3,,,2:00,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150527.txt,"Hagerstown Morning Herald, May 31, 1915",0,0,2,0,0,0,2,0,0,,,,,,,0,0,3,0,0,0,0,0,0,,,,,,
JJRNCQD,1915-05-31,2,Blue Ridge,regular,,Gettysburg,,,Frederick,,,,,,,,,transcript/1915/1915-HMH/boxes/BLRI-19150531.txt,"Hagerstown Morning Herald, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
