league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Buckeye League,P3310197,Allison,,Canton,1915-05-23,1915-05-23,1,0,0,0,0,0,1,0,0,1,0,0
1915,Buckeye League,P1032445,Baird,,Akron,1915-05-24,1915-05-24,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P5879946,Baird,,Newark,1915-05-31,1915-05-31,2,1,0,0,0,0,1,0,1,0,0,1
1915,Buckeye League,P1266501,Barnhard,,Canton,1915-05-19,1915-05-19,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P6177365,Barnhart,,Canton,1915-05-23,1915-05-31,2,2,0,0,0,0,0,0,0,0,0,2
1915,Buckeye League,P4720379,Beeney,,Canton,1915-06-06,1915-06-10,5,0,0,0,0,0,0,0,0,0,5,0
1915,Buckeye League,P1574978,Benner,,Newark,1915-06-10,1915-06-10,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P8401231,Biggs,,Canton,1915-06-05,1915-06-05,1,0,0,0,0,0,0,0,0,0,1,0
1915,Buckeye League,P9732871,Blanchard,,Newark,1915-05-24,1915-06-06,7,0,0,0,0,0,0,0,0,0,7,0
1915,Buckeye League,P2693359,Blue,,Findlay,1915-05-27,1915-06-10,3,0,0,0,0,3,0,0,0,0,0,0
1915,Buckeye League,P5310246,Bond,,Lima,1915-05-23,1915-06-09,3,3,0,0,0,0,0,0,0,0,0,3
1915,Buckeye League,P1474204,Bonin,,Marion,1915-05-19,1915-06-10,15,0,0,0,0,0,15,1,0,14,0,0
1915,Buckeye League,P7007670,Booie,,Newark,1915-05-19,1915-05-19,1,0,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,P0973118,Bowie,,Newark,1915-05-21,1915-05-22,2,0,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,P1610086,Breymaier,,Marion,1915-05-19,1915-06-10,15,0,0,0,0,0,0,0,0,0,15,0
