game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
HNKJQTC,1915,Florida-Alabama-Georgia League,1915-04-26,0,regular,P4557895,LaRocque,
BHMHGTR,1915,Florida-Alabama-Georgia League,1915-04-26,0,regular,P1146146,Hancock,
WTQBDGF,1915,Florida-Alabama-Georgia League,1915-04-26,0,regular,P0929420,White,
RYFBJKN,1915,Florida-Alabama-Georgia League,1915-04-27,0,regular,P0929420,White,
XCPFCQH,1915,Florida-Alabama-Georgia League,1915-04-27,0,regular,P4557895,LaRocque,
TTRGSQP,1915,Florida-Alabama-Georgia League,1915-04-27,0,regular,P1146146,Hancock,
JLRHMDF,1915,Florida-Alabama-Georgia League,1915-04-28,0,regular,P1146146,Hancock,
CSZNMQB,1915,Florida-Alabama-Georgia League,1915-04-28,0,regular,P0929420,White,
XRXTMFT,1915,Florida-Alabama-Georgia League,1915-04-28,0,regular,P4557895,LaRocque,
XMMQZGR,1915,Florida-Alabama-Georgia League,1915-04-29,0,regular,P6240932,Colby,
ZLZSKCX,1915,Florida-Alabama-Georgia League,1915-04-29,0,regular,P0929420,White,
VJNSZBR,1915,Florida-Alabama-Georgia League,1915-04-29,0,regular,P9539623,La Rocque,
WNWYTYR,1915,Florida-Alabama-Georgia League,1915-04-30,0,regular,P0929420,White,
DXRGZVT,1915,Florida-Alabama-Georgia League,1915-04-30,0,regular,P6240932,Colby,
CVLVMXB,1915,Florida-Alabama-Georgia League,1915-04-30,0,regular,P9539623,La Rocque,
VHCHBXM,1915,Florida-Alabama-Georgia League,1915-05-01,0,regular,P1146146,Hancock,
JPDFQHV,1915,Florida-Alabama-Georgia League,1915-05-01,1,regular,P9539623,La Rocque,
RLTJCNC,1915,Florida-Alabama-Georgia League,1915-05-01,2,regular,P9539623,La Rocque,
XPYWKQH,1915,Florida-Alabama-Georgia League,1915-05-01,0,regular,P0929420,White,
SDBMZPK,1915,Florida-Alabama-Georgia League,1915-05-03,0,regular,P1146146,Hancock,
DHDFLGM,1915,Florida-Alabama-Georgia League,1915-05-03,0,regular,P4557895,LaRocque,
RLFVDVT,1915,Florida-Alabama-Georgia League,1915-05-03,0,regular,P0929420,White,
TGDDWJY,1915,Florida-Alabama-Georgia League,1915-05-04,0,regular,P1146146,Hancock,
XZSQWQW,1915,Florida-Alabama-Georgia League,1915-05-04,0,regular,P4557895,LaRocque,
XPTZBJV,1915,Florida-Alabama-Georgia League,1915-05-04,0,regular,P0929420,White,
KVWGBKG,1915,Florida-Alabama-Georgia League,1915-05-05,0,regular,P9539623,La Rocque,
ZMGTVVC,1915,Florida-Alabama-Georgia League,1915-05-05,0,regular,P1146146,Hancock,
NWMPFNN,1915,Florida-Alabama-Georgia League,1915-05-05,0,regular,P0929420,White,
CDJNBTR,1915,Florida-Alabama-Georgia League,1915-05-06,0,regular,P9539623,La Rocque,
VTWLSDB,1915,Florida-Alabama-Georgia League,1915-05-06,0,regular,P0929420,White,
KVMBJTC,1915,Florida-Alabama-Georgia League,1915-05-06,0,regular,P9599980,Hall,
KVMBJTC,1915,Florida-Alabama-Georgia League,1915-05-06,0,regular,P1854052,Mosely,
KVMBJTC,1915,Florida-Alabama-Georgia League,1915-05-06,0,regular,P5751786,Wingers,
KVMBJTC,1915,Florida-Alabama-Georgia League,1915-05-06,0,regular,P6089915,Ery,
HSPPDDF,1915,Florida-Alabama-Georgia League,1915-05-07,0,regular,P0929420,White,
ZXTZVQV,1915,Florida-Alabama-Georgia League,1915-05-07,0,regular,P4557895,LaRocque,
CHQJFCT,1915,Florida-Alabama-Georgia League,1915-05-08,0,regular,P4557895,LaRocque,
JNJRRMF,1915,Florida-Alabama-Georgia League,1915-05-08,0,regular,P0929420,White,
GBPFNJV,1915,Florida-Alabama-Georgia League,1915-05-08,1,regular,P6240932,Colby,
XQTTHZZ,1915,Florida-Alabama-Georgia League,1915-05-08,2,regular,P6240932,Colby,
PYVHNLP,1915,Florida-Alabama-Georgia League,1915-05-10,0,regular,P9559101,Mitchell,
HJDHPSR,1915,Florida-Alabama-Georgia League,1915-05-10,0,regular,P0929420,White,
FCLGHFZ,1915,Florida-Alabama-Georgia League,1915-05-10,0,regular,P2833764,LaRoque,
WTMKYND,1915,Florida-Alabama-Georgia League,1915-05-11,0,regular,P9559101,Mitchell,
JPYKKMX,1915,Florida-Alabama-Georgia League,1915-05-12,0,regular,P9559101,Mitchell,
RGQFDTY,1915,Florida-Alabama-Georgia League,1915-05-12,1,regular,P0929420,White,
FHNVGYL,1915,Florida-Alabama-Georgia League,1915-05-12,2,regular,P0929420,White,
SKRYTVQ,1915,Florida-Alabama-Georgia League,1915-05-12,1,regular,P9539623,La Rocque,
YTBFHHZ,1915,Florida-Alabama-Georgia League,1915-05-12,2,regular,P9539623,La Rocque,
FNRYFZD,1915,Florida-Alabama-Georgia League,1915-05-13,0,regular,P9846178,Underwood,
