league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Blue Ridge League,regular,P4993037,Agnew,,Frederick,1915-06-04,1915-06-05,2,0,0,2,0,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P6929779,B'hart,,Frederick,1915-05-31,1915-06-04,2,0,0,0,2,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P5171067,Baley,,Hagerstown,1915-05-27,1915-05-27,1,0,0,0,0,0,1,1,0,0,0,0
1915,Blue Ridge League,regular,P1351769,Barn't,,Frederick,1915-06-05,1915-06-05,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P5622262,Batters,,Chambersburg,1915-06-04,1915-06-04,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,regular,P3234153,Bauer,,Martinsburg,1915-06-04,1915-06-04,1,0,0,0,0,0,1,0,1,0,0,0
1915,Blue Ridge League,regular,P3642907,Beall,,Frederick,1915-05-31,1915-05-31,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,regular,P2173438,Bitters,,Chambersburg,1915-05-31,1915-05-31,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,regular,P5398201,Bower,,Martinsburg,1915-06-05,1915-06-05,1,0,0,0,0,0,1,0,1,0,0,0
1915,Blue Ridge League,regular,P3839512,Boyne,,Frederick,1915-05-31,1915-06-05,3,0,3,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P9027659,Carroll,,Gettysburg,1915-05-29,1915-05-29,1,0,0,0,0,1,0,0,0,0,0,0
1915,Blue Ridge League,regular,P4412059,Ceher'l [Scherdel],,Hanover,1915-06-05,1915-06-05,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,regular,P3474346,Cline,,Hanover,1915-06-04,1915-06-04,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,regular,P9886064,Clink,,Hanover,1915-06-04,1915-06-04,1,0,0,0,0,0,1,0,1,0,0,0
1915,Blue Ridge League,regular,P4607868,Clunk,,Hanover,1915-05-31,1915-06-05,3,0,0,0,0,0,3,0,3,0,0,0
1915,Blue Ridge League,regular,P4595199,Cotter,,Hagerstown,1915-06-05,1915-06-05,1,1,0,0,0,0,0,0,0,0,0,1
